"Series Data"
"C:\Data\SMARC_20170927\SMARC_20170927006_000000.STA"
"Broadband 153.6 kHz"
"Pings/Ens ="	8
"Time/Ping = 00:01.00"
"First Ensemble Date = 18/12/10"
"First Ensemble Time = 10:42:36.08"
"Ensemble Interval (s) = "	20,00
"1st Bin Range (m) = "	14,95
"Bin Size (m) ="	8,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"BTM"	"NVE"	"NVN"	"NVM"	"NVD"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
8	18	12	10	10	44	56	08		27	10	48	45																																										-34	11	-69	-88																																										-52	-19	-5	-11																																										6	-7	-13	4																																										43	15	84	99																																										141,50	42,30	145,20	152,90																																										5234	-4586	2243	5105	296,10	58,26083332	11,42669999	58,26120003	11,42528336
9	18	12	10	10	45	17	09		10	9	15	59																																										-63	-32	-139	-71																																										-60	-29	-11	-19																																										3	-1	-4	11																																										64	33	140	92																																										171,00	164,30	173,80	140,30																																										5240	-4668	2204	5162	295,30	58,26123331	11,42511665	58,26164997	11,42353331
10	18	12	10	10	45	39	01		-11	-21	53	-11																																										-69	8	-72	-61																																										-127	-109	-95	-96																																										-52	-25	1	-30																																										70	22	89	62																																										189,10	290,90	143,60	190,20																																										5282	-4752	2210	5241	294,90	58,26168333	11,42336668	58,26201668	11,42208332
11	18	12	10	10	45	57	05		57	18	77	31																																										-34	40	-83	-32																																										-11	31	42	60																																										-37	-17	-55	-26																																										66	44	113	45																																										120,80	24,20	137,10	135,90																																										5291	-4688	2359	5248	296,70	58,26205004	11,42191669	58,26248330	11,42033335
12	18	12	10	10	46	18	07		87	97	67																																											-21	57	-21																																											-56	-15	0																																											23	6	-15																																											89	113	70																																											103,60	59,60	107,40																																											5309	-4658	2342	5214	296,70	58,26251666	11,42016663	58,26286669	11,41889996
13	18	12	10	10	46	37	02		84	87	14																																											-48	-48	-31																																											-109	-62	-49																																											11	-5	-135																																											97	99	34																																											119,70	118,90	155,70																																											5349	-4819	2131	5269	293,90	58,26289997	11,41873333	58,26330003	11,41710003
14	18	12	10	10	46	58	09		39	-76																																												-67	76																																												-86	-16																																												0	-25																																												78	107																																												149,80	315,00																																												5358	-5115	1238	5263	283,60	58,26333331	11,41693331	58,26351671	11,41534997
15	18	12	10	10	47	18	00		43	58																																												-22	-1																																												-84	-44																																												15	7																																												48	58																																												117,10	91,00																																												5349	-5253	378	5267	274,10	58,26351671	11,41518334	58,26358334	11,41356664
16	18	12	10	10	47	38	01		91	135	127	172																																										-58	-50	-68	-120																																										-28	31	38	34																																										47	57	54	87																																										108	144	144	210																																										122,50	110,30	118,20	124,90																																										5389	-5361	580	5392	276,20	58,26358334	11,41338333	58,26368334	11,41175003
17	18	12	10	10	47	58	08		71	82	166	192	150																																									-73	-96	-94	-100	-56																																									-162	-97	-73	-54	-58																																									49	34	20	41	73																																									102	126	191	216	160																																									135,80	139,50	119,50	117,50	110,50																																									5414	-5334	574	5365	276,10	58,26370002	11,41156663	58,26376665	11,41011665
18	18	12	10	10	48	17	03		18	90	42	52	62																																									-92	-55	-66	-58	-47																																									-138	-95	-84	-78	-57																																									12	9	13	37	32																																									94	105	78	78	78																																									168,90	121,40	147,50	138,10	127,20																																									5337	-5320	464	5340	275,00	58,26376665	11,40993333	58,26384997	11,40815000
19	18	12	10	10	48	38	04		-24	51	28																																											-36	-19	-65																																											-83	-23	-1																																											-12	-5	-17																																											43	54	71																																											213,70	110,40	156,70																																											5329	-5241	486	5264	275,30	58,26386665	11,40796669	58,26391669	11,40654998
20	18	12	10	10	48	56	09		-158	24	-702																																											31	10	673																																											40	45	128																																											130	-39	-353																																											161	26	972																																											281,10	67,40	313,80																																											5275	-5272	-309	5281	266,60	58,26391669	11,40636667	58,26386665	11,40474997
21	18	12	10	10	49	17	04		13	59	54																																											15	-59	48																																											-53	9	50																																											-35	8	12																																											20	83	72																																											40,90	135,00	48,40																																											5260	-5136	-155	5138	268,30	58,26386665	11,40458333	58,26383337	11,40299999
