"Series Data"
"C:\Data\SMARC_20170927\SMARC_20170927006_000000.STA"
"Broadband 153.6 kHz"
"Pings/Ens ="	8
"Time/Ping = 00:01.00"
"First Ensemble Date = 18/12/10"
"First Ensemble Time = 10:42:36.08"
"Ensemble Interval (s) = "	20,00
"1st Bin Range (m) = "	14,95
"Bin Size (m) ="	8,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"BTM"	"NVE"	"NVN"	"NVM"	"NVD"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
308	18	12	10	12	24	58	09		14																																													29																																													-73																																													7																																													32																																													25,80																																													5816	1999	-5453	5808	159,90	58,23584997	11,31725002	58,23506668	11,31778336
309	18	12	10	12	25	16	08																																																																																																																																																																																																																																																																																5966	707	-5844	5887	173,10	58,23496669	11,31785000	58,23401668	11,31803331
310	18	12	10	12	25	36	09																																																																																																																																																																																																																																																																																5938	-816	-6016	6071	187,70	58,23390000	11,31803331	58,23293332	11,31776668
311	18	12	10	12	25	57	00																																																																																																																																																																																																																																																																																5791	-1705	-5569	5824	197,00	58,23283332	11,31771664	58,23193336	11,31716670
312	18	12	10	12	26	17	01																																																																																																																																																																																																																																																																																5716	-2847	-4984	5740	209,70	58,23184996	11,31706662	58,23103331	11,31620002
313	18	12	10	12	26	37	02																																																																																																																																																																																																																																																																																5824	-3826	-4435	5857	220,80	58,23094999	11,31608334	58,23023334	11,31489999
314	18	12	10	12	26	57	03		25																																													-4																																													-133																																													34																																													25																																													99,10																																													5788	-4352	-3644	5676	230,10	58,23016671	11,31476663	58,22958332	11,31341664
315	18	12	10	12	27	17	04		26	40																																												-32	77																																												-90	-46																																												-2	17																																												41	87																																												140,90	27,50																																												5777	-4316	-3816	5761	228,50	58,22951669	11,31326669	58,22890003	11,31193330
316	18	12	10	12	27	37	05		-334	-240																																												736	757																																												241	311																																												-39	-96																																												808	794																																												335,60	342,40																																												5738	-4080	-3919	5657	226,20	58,22883331	11,31178334	58,22813334	11,31039999
317	18	12	10	12	27	58	00		112	116																																												168	123																																												-188	-140																																												-31	-51																																												202	169																																												33,70	43,30																																												5556	-4171	-3507	5449	229,90	58,22806670	11,31026664	58,22750000	11,30898337
318	18	12	10	12	28	18	02		65	115																																												-12	-52																																												-124	-86																																												28	25																																												66	126																																												100,50	114,30																																												5613	-4116	-3713	5543	227,90	58,22743337	11,30883333	58,22683331	11,30758334
319	18	12	10	12	28	38	03		-55	35																																												-58	-72																																												-83	-21																																												60	27																																												80	80																																												223,50	154,10																																												5798	-4280	-3919	5803	227,50	58,22676667	11,30743330	58,22613333	11,30613335
320	18	12	10	12	28	58	04		52	65																																												-36	-25																																												-34	24																																												17	28																																												63	70																																												124,70	111,00																																												5846	-4116	-4056	5779	225,40	58,22605002	11,30600000	58,22540000	11,30473332
321	18	12	10	12	29	18	09		-115	-15																																												-119	-138																																												-8	70																																												22	32																																												165	139																																												224,00	186,20																																												5848	-4142	-4022	5773	225,80	58,22533336	11,30459997	58,22466667	11,30333330
322	18	12	10	12	29	38	00		-14	65																																												-72	-56																																												-191	-141																																												39	14																																												73	86																																												191,00	130,70																																												5842	-4081	-4091	5778	224,90	58,22458335	11,30320002	58,22393334	11,30193335
323	18	12	10	12	29	58	05		-172	-157																																												122	54																																												-81	-37																																												30	14																																												211	166																																												305,30	289,00																																												5200	-3672	-3828	5305	223,80	58,22385002	11,30179999	58,22331668	11,30081663
324	18	12	10	12	30	17	02		-8	17	-56																																											71	41	124																																											60	81	94																																											5	9	-14																																											71	44	136																																											353,60	22,50	335,70																																											3735	-2775	-2784	3931	224,90	58,22324996	11,30070004	58,22281670	11,29986671
325	18	12	10	12	30	37	03		-114	-13	1																																											-22	-59	-13																																											-96	-76	-58																																											-47	-19	-11																																											116	60	13																																											259,10	192,40	175,60																																											2812	-1939	-2166	2907	221,80	58,22276666	11,29978331	58,22241663	11,29921669
326	18	12	10	12	30	56	08		-3	86	42																																											48	35	60																																											-110	-81	-70																																											-13	-18	-3																																											48	93	73																																											356,40	67,90	35,00																																											2414	-1923	-1650	2534	229,40	58,22238335	11,29914997	58,22211664	11,29856667
327	18	12	10	12	31	17	03		-211	-81	-96																																											-51	-41	-16																																											-111	-29	-22																																											75	123	30																																											217	91	97																																											256,40	243,20	260,50																																											2076	-2340	-103	2342	267,50	58,22209996	11,29848336	58,22209996	11,29769999
328	18	12	10	12	31	37	08		-131	-111	-126																																											91	117	113																																											27	32	38																																											-11	50	1																																											160	161	169																																											304,80	316,50	311,90																																											924	-877	734	1144	309,90	58,22211664	11,29765003	58,22221664	11,29743336
329	18	12	10	12	31	56	09		-29	-8	-48																																											42	77	184																																											78	86	45																																											14	-26	32																																											51	77	190																																											325,40	354,10	345,40																																											477	-367	464	592	321,60	58,22223332	11,29738332	58,22230004	11,29731668
330	18	12	10	12	32	16	08		6	12	-23																																											-33	8	14																																											-45	-58	-59																																											-12	-12	-8																																											34	14	27																																											169,70	56,30	301,30																																											298	218	309	378	35,10	58,22231663	11,29731668	58,22234999	11,29740000
331	18	12	10	12	32	38	06		-48	-57	-68																																											42	80	94																																											-10	21	27																																											15	-7	6																																											64	98	116																																											311,20	324,50	324,10																																											678	306	580	656	27,80	58,22236667	11,29740000	58,22246667	11,29749999
332	18	12	10	12	32	58	05		-19	5	-15																																											23	66	100																																											28	41	36																																											10	4	4																																											30	66	101																																											320,40	4,30	351,50																																											412	-21	426	426	357,20	58,22248335	11,29749999	58,22253331	11,29749999
333	18	12	10	12	33	17	06		15	22	41																																											2	65	72																																											-73	-88	-62																																											2	6	41																																											15	69	83																																											82,40	18,70	29,70																																											139	-146	69	161	295,30	58,22253331	11,29746663	58,22254999	11,29745004
334	18	12	10	12	33	38	05		-19	-23	-35																																											4	70	79																																											-21	-2	20																																											19	1	15																																											19	74	86																																											281,90	341,80	336,10																																											345	-102	-348	363	196,30	58,22254999	11,29743336	58,22250003	11,29741668
335	18	12	10	12	33	57	02		-57	-26	-134																																											-38	25	-92																																											29	36	-52																																											-2	6	12																																											69	36	163																																											236,30	313,90	235,50																																											384	-362	-240	435	236,40	58,22250003	11,29741668	58,22244999	11,29728332
336	18	12	10	12	34	19	04		16	54	45																																											-21	35	80																																											-119	-118	-119																																											-10	7	5																																											26	64	92																																											142,70	57,10	29,40																																											395	-429	116	444	285,10	58,22244999	11,29728332	58,22246667	11,29714997
337	18	12	10	12	34	38	00		-41	-88	-60																																											7	47	82																																											22	-12	4																																											-20	-38	13																																											42	100	102																																											279,70	298,10	323,80																																											129	-307	-39	309	262,80	58,22246667	11,29713337	58,22246667	11,29706665
338	18	12	10	12	34	57	01		31	20	31																																											-53	68	73																																											17	35	42																																											-4	7	0																																											61	71	79																																											149,70	16,40	23,00																																											137	-18	-103	105	189,90	58,22248335	11,29706665	58,22244999	11,29706665
339	18	12	10	12	35	17	03		-16	-5	-2																																											33	61	81																																											35	39	43																																											-13	-4	-16																																											37	61	81																																											334,10	355,30	358,60																																											267	265	77	276	73,70	58,22244999	11,29708333	58,22248335	11,29714997
340	18	12	10	12	35	38	04		-56	-17	-11																																											22	66	102																																											-57	-64	-57																																											-41	-14	-14																																											60	68	103																																											291,40	345,60	353,80																																											328	236	309	389	37,30	58,22250003	11,29716665	58,22253331	11,29723337
341	18	12	10	12	35	58	05		118	24	76																																											-56	-164	-150																																											-331	-326	-333																																											47	14	-3																																											131	166	168																																											115,40	171,70	153,10																																											228	-20	77	80	345,20	58,22254999	11,29723337	58,22254999	11,29724996
342	18	12	10	12	36	17	02		43	11	19																																											2	117	88																																											-9	-5	-42																																											-3	29	27																																											43	118	90																																											87,30	5,40	12,20																																											80	126	-103	163	129,10	58,22254999	11,29726664	58,22253331	11,29730000
343	18	12	10	12	36	39	00		-39	-3	13																																											-56	40	59																																											121	34	20																																											81	40	24																																											68	40	60																																											214,90	355,70	12,40																																											250	-41	-348	350	186,70	58,22251663	11,29730000	58,22248335	11,29730000
344	18	12	10	12	36	57	02		-44	-16	-24																																											-22	62	96																																											34	39	59																																											10	-5	-28																																											49	64	99																																											243,40	345,50	346,00																																											445	-418	-34	419	265,30	58,22246667	11,29730000	58,22248335	11,29714997
345	18	12	10	12	37	18	02		-51	8	-14																																											-54	7	65																																											12	-18	2																																											-10	5	2																																											74	11	66																																											223,40	48,80	347,80																																											325	-408	-232	469	240,40	58,22246667	11,29713337	58,22244999	11,29703337
346	18	12	10	12	37	36	08		-39	165																																												3	54																																												-61	-184																																												39	-60																																												39	174																																												274,40	71,90																																												337	-163	-413	444	201,60	58,22244999	11,29703337	58,22238335	11,29698333
347	18	12	10	12	37	57	00		78	66	61																																											-123	-3	-35																																											18	-80	-83																																											-39	-60	-14																																											146	66	70																																											147,60	92,60	119,80																																											145	-146	-69	161	244,70	58,22238335	11,29698333	58,22238335	11,29694997
348	18	12	10	12	38	17	09		-42	-10	-22																																											-17	37	97																																											36	-29	14																																											15	27	-23																																											45	38	99																																											248,00	344,90	347,20																																											152	-109	-206	233	207,80	58,22238335	11,29691670	58,22234999	11,29691670
349	18	12	10	12	38	38	00		-126	-11	78																																											42	119	139																																											127	96	147																																											53	153	261																																											133	120	159																																											288,40	354,70	29,30																																											292	41	-348	350	173,30	58,22234999	11,29691670	58,22230004	11,29694997
350	18	12	10	12	38	58	08		-18	-71	-12																																											64	100	67																																											104	181	42																																											68	62	-50																																											66	123	68																																											344,30	324,60	349,80																																											240	163	-116	200	125,40	58,22230004	11,29694997	58,22228336	11,29700001
351	18	12	10	12	39	17	04		18	57	7																																											92	106	128																																											107	77	74																																											-42	-8	-2																																											94	120	128																																											11,10	28,30	3,10																																											219	20	77	80	14,80	58,22226668	11,29701669	58,22230004	11,29701669
352	18	12	10	12	39	37	08		-186	-121	-122																																											-77	-23	56																																											116	47	36																																											-116	19	-2																																											201	123	134																																											247,50	259,20	294,70																																											115	-18	69	71	345,20	58,22231663	11,29703337	58,22231663	11,29700001
353	18	12	10	12	39	57	09		42	74	85																																											-98	11	53																																											-54	-32	-27																																											27	-19	-20																																											107	75	100																																											156,80	81,50	58,10																																											169	54	-206	213	165,20	58,22231663	11,29701669	58,22228336	11,29701669
354	18	12	10	12	40	19	02		4	-14	41																																											-124	-34	15																																											-133	-134	-101																																											68	32	19																																											124	37	44																																											178,20	202,40	69,90																																											54	-81	-77	112	226,50	58,22228336	11,29700001	58,22226668	11,29701669
355	18	12	10	12	40	37	09		19	27	22																																											1	55	65																																											6	30	29																																											-69	-33	-56																																											19	61	69																																											87,00	26,10	18,70																																											31	73	0	73	90,00	58,22226668	11,29701669	58,22226668	11,29703337
356	18	12	10	12	40	58	08		-8	4	-14																																											-32	-34	-43																																											21	-5	9																																											21	-3	-5																																											33	34	45																																											194,00	173,30	198,00																																											635	-266	348	438	322,70	58,22226668	11,29701669	58,22231663	11,29693329
357	18	12	10	12	41	18	07		-23	68	23																																											53	102	117																																											-43	-8	10																																											8	-15	1																																											58	123	119																																											336,50	33,70	11,10																																											1435	-1081	39	1082	272,00	58,22233331	11,29690002	58,22230004	11,29654999
358	18	12	10	12	41	38	02		-177	-88	-42																																											42	-25	-69																																											-48	11	41																																											26	43	13																																											182	91	81																																											283,30	254,10	211,30																																											2268	-1179	-1650	2028	215,50	58,22228336	11,29651663	58,22199997	11,29615000
359	18	12	10	12	41	58	07		76	112	129																																											-58	-112	-169																																											-71	-51	-35																																											-26	16	34																																											96	158	213																																											127,30	135,00	142,60																																											3087	-186	-2873	2879	183,70	58,22195001	11,29613332	58,22153335	11,29609996
360	18	12	10	12	42	17	02		25	48	95																																											-54	-104	-122																																											-23	1	25																																											-12	1	19																																											60	115	155																																											155,20	155,20	142,10																																											4402	388	-4138	4156	174,60	58,22146663	11,29609996	58,22070002	11,29625000
361	18	12	10	12	42	38	03		51	106	144																																											-43	-74	-127																																											-53	-29	-19																																											-5	-1	-2																																											67	129	192																																											130,10	124,90	131,40																																											5443	466	-5215	5236	174,90	58,22061670	11,29628336	58,21985001	11,29640004
362	18	12	10	12	42	56	08		5	11	0																																											2	-34	-45																																											-161	-110	-90																																											-13	-13	-7																																											5	36	45																																											68,20	162,10	180,00																																											5782	580	-5638	5668	174,10	58,21975001	11,29641663	58,21871669	11,29661663
363	18	12	10	12	43	19	00		25	-200																																												-31	331																																												-12	-19																																												49	-56																																												40	387																																												141,10	328,90																																												5919	816	-5879	5935	172,10	58,21860001	11,29663331	58,21776669	11,29686666
364	18	12	10	12	43	36	08		-27																																													-4																																													-65																																													25																																													27																																													261,60																																													5836	853	-5844	5906	171,70	58,21766669	11,29690002	58,21671668	11,29713337
365	18	12	10	12	43	56	09		4	35																																												-63	71																																												-28	-25																																												34	-107																																												63	79																																												176,40	26,20																																												5757	853	-5569	5634	171,30	58,21661669	11,29716665	58,21571664	11,29743336
366	18	12	10	12	44	17	00		0	-183																																												-25	192																																												-172	-86																																												-50	-47																																												25	265																																												180,00	316,40																																												5832	943	-5775	5852	170,70	58,21561664	11,29748331	58,21468332	11,29775003
367	18	12	10	12	44	37	02		11	-59																																												-26	-7																																												-61	-3																																												-40	-9																																												28	59																																												157,10	263,20																																												5843	726	-5810	5855	172,90	58,21456664	11,29775003	58,21363332	11,29799997
368	18	12	10	12	44	57	03		-26	-58																																												-53	109																																												-108	-215																																												-9	17																																												59	123																																												206,10	332,00																																												5833	726	-5673	5719	172,70	58,21353332	11,29801665	58,21261668	11,29825001
369	18	12	10	12	45	17	04		-83	-34																																												-37	-119																																												-38	32																																												31	0																																												91	124																																												246,00	195,90																																												5713	961	-5604	5686	170,30	58,21251668	11,29828337	58,21160004	11,29856667
370	18	12	10	12	45	37	05		-149	23																																												-5	-30																																												-68	-33																																												21	-37																																												149	38																																												268,10	142,50																																												5747	1161	-5569	5689	168,20	58,21150004	11,29860003	58,21059999	11,29896666
371	18	12	10	12	45	57	06		90	-55																																												-28	79																																												-142	-156																																												-7	-20																																												94	96																																												107,30	325,20																																												5804	1161	-5569	5689	168,20	58,21049999	11,29900002	58,20950003	11,29940000
372	18	12	10	12	46	17	07		-90	-90																																												-108	-69																																												-91	19																																												0	-96																																												141	113																																												219,80	232,50																																												5796	1252	-5741	5876	167,70	58,20938336	11,29944996	58,20846663	11,29983335
373	18	12	10	12	46	37	08		-24																																													-23																																													-121																																													29																																													33																																													226,20																																													5792	1198	-5570	5697	167,90	58,20836663	11,29986671	58,20746667	11,30023333
374	18	12	10	12	46	57	09		-94																																													-112																																													-91																																													-43																																													146																																													220,00																																													5665	1270	-5569	5712	167,20	58,20736667	11,30028337	58,20646671	11,30066668
375	18	12	10	12	47	18	00		13	40																																												-65	-67																																												-32	3																																												9	37																																												66	78																																												168,70	149,20																																												5900	1053	-5672	5769	169,50	58,20636663	11,30070004	58,20544998	11,30101671
376	18	12	10	12	47	38	05		-63	11																																												-20	-16																																												-144	-64																																												-9	-8																																												66	19																																												252,40	145,50																																												5816	796	-5918	5971	172,30	58,20533331	11,30104998	58,20449998	11,30126665
377	18	12	10	12	47	57	02		30	73																																												-8	-21																																												-84	-17																																												0	-10																																												31	76																																												104,90	106,00																																												5906	1071	-5844	5941	169,60	58,20439998	11,30131669	58,20344998	11,30163336
378	18	12	10	12	48	17	03		-83	-51	-278																																											-56	-50	161																																											-94	-31	-57																																											-22	27	35																																											100	71	321																																											236,00	225,60	300,10																																											5895	980	-5672	5756	170,20	58,20334998	11,30166664	58,20243333	11,30196663
379	18	12	10	12	48	37	05		-33	2																																												-62	-48																																												-41	35																																												-20	-4																																												70	48																																												208,00	177,60																																												5738	1144	-5500	5618	168,30	58,20233334	11,30199999	58,20143337	11,30235001
380	18	12	10	12	48	57	06		-40	34																																												-10	-18																																												-27	45																																												-2	-5																																												41	38																																												256,00	117,90																																												5734	762	-5742	5792	172,40	58,20131670	11,30238337	58,20029997	11,30265000
381	18	12	10	12	49	17	07		-96	-32																																												-10	18																																												-156	-116																																												9	-24																																												97	37																																												264,10	299,40																																												4991	617	-5157	5194	173,20	58,20019998	11,30266668	58,19938333	11,30284999
382	18	12	10	12	49	37	08		-67	-40																																												-74	-12																																												49	74																																												5	-14																																												100	42																																												222,20	253,30																																												3763	-163	-3751	3755	182,50	58,19931669	11,30284999	58,19876667	11,30281663
383	18	12	10	12	49	56	09		-301	-374	-223																																											198	225	175																																											-191	-213	-243																																											-3	1	36																																											360	436	283																																											303,30	301,00	308,10																																											2902	-726	-2888	2978	194,10	58,19871663	11,30278336	58,19818337	11,30258337
384	18	12	10	12	50	18	06		-26	9	-30																																											-113	-66	-51																																											-44	-28	-19																																											-7	-1	25																																											116	67	59																																											193,00	172,20	210,50																																											2628	-265	-2707	2720	185,60	58,19813333	11,30258337	58,19771667	11,30248337
385	18	12	10	12	50	38	01		-64	-18	-8																																											-42	-4	8																																											-60	-35	-31																																											2	13	1																																											77	18	11																																											236,70	257,50	315,00																																											2434	756	-2359	2477	162,20	58,19766663	11,30249997	58,19730001	11,30276668
386	18	12	10	12	50	59	02		-126	-165																																												591	490																																												-504	-307																																																																																									604	517																																												348,00	341,40																																												1344	1777	-1122	2101	122,30	58,19726665	11,30281663	58,19711669	11,30331670
387	18	12	10	12	51	17	05		-370	-231																																												643	399																																												39	-21																																												58	14																																												742	461																																												330,10	329,90																																												1866	1960	103	1963	87,00	58,19711669	11,30338334	58,19713337	11,30405003
388	18	12	10	12	51	37	06		-501	-524																																												914	452																																												-34	-44																																												-163	-60																																												1042	692																																												331,30	310,80																																												1521	1743	653	1861	69,50	58,19714997	11,30411667	58,19726665	11,30463333
389	18	12	10	12	51	58	01		-23	11																																												119	84																																												-57	37																																												33	4																																												121	85																																												349,10	7,50																																												1117	890	928	1286	43,80	58,19728333	11,30466669	58,19743336	11,30493332
390	18	12	10	12	52	18	03		-5	21	-51																																											123	54	91																																											-52	-31	-14																																											-29	-1	15																																											123	58	104																																											357,70	21,30	330,70																																											846	327	928	984	19,40	58,19745004	11,30495000	58,19758331	11,30504999
391	18	12	10	12	52	36	09		-74	-73	-87																																											150	96	114																																											-93	-14	-13																																											9	8	-18																																											167	121	143																																											333,70	322,80	322,70																																											587	73	722	726	5,70	58,19759999	11,30508335	58,19771667	11,30506667
392	18	12	10	12	52	57	05		-48	-89																																												23	12																																												14	6																																												-3	-23																																												53	90																																												295,60	277,70																																												216	218	103	241	64,70	58,19771667	11,30506667	58,19773335	11,30513331
393	18	12	10	12	53	17	06		63	47	49																																											66	57	80																																											-38	-59	-53																																											31	15	20																																											91	74	94																																											43,70	39,50	31,50																																											296	254	0	254	90,00	58,19773335	11,30514999	58,19773335	11,30523331
394	18	12	10	12	53	38	01		14	-26	-27																																											80	42	39																																											-91	-38	-43																																											-51	-2	9																																											81	49	47																																											9,90	328,20	325,30																																											273	218	241	325	42,10	58,19773335	11,30523331	58,19778331	11,30530003
395	18	12	10	12	53	58	02		100	35	32																																											117	102	92																																											-31	-1	8																																											8	-25	-31																																											154	108	97																																											40,50	18,90	19,20																																											270	91	310	323	16,40	58,19778331	11,30528335	58,19783335	11,30531671
396	18	12	10	12	54	18	03		86	87	40																																											-64	39	-11																																											-11	-12	-29																																											38	48	25																																											107	95	41																																											126,70	65,90	105,40																																											212	73	207	219	19,40	58,19783335	11,30531671	58,19786671	11,30534998
397	18	12	10	12	54	38	04		142	47	7																																											56	84	62																																											81	179	142																																											71	-2	32																																											153	96	62																																											68,50	29,20	6,40																																											91	73	-69	100	133,40	58,19786671	11,30534998	58,19786671	11,30538334
398	18	12	10	12	54	58	09		96	73	31																																											-58	-3	-59																																											-133	-112	-128																																											10	-10	2																																											112	73	67																																											121,10	92,40	152,30																																											146	-20	-232	233	185,00	58,19785003	11,30538334	58,19783335	11,30538334
399	18	12	10	12	55	16	08		-2	60																																												0	65																																												10	-12																																												-4	15																																												2	88																																												270,00	42,70																																												277	-109	0	109	270,00	58,19783335	11,30541670	58,19783335	11,30534998
400	18	12	10	12	55	36	09		-1	-9	-48																																											7	54	-3																																											-10	21	3																																											-22	-4	27																																											7	55	48																																											351,90	350,50	266,40																																											415	-490	-103	501	258,10	58,19783335	11,30531671	58,19781667	11,30518335
401	18	12	10	12	55	57	08		2	-31	-82																																											31	40	5																																											-7	21	17																																											-24	8	2																																											31	51	82																																											3,70	322,20	273,50																																											405	-472	0	472	270,00	58,19781667	11,30514999	58,19781667	11,30501663
402	18	12	10	12	56	18	03		36	66	104																																											73	34	3																																											-60	-65	-72																																											21	-58	-49																																											81	74	104																																											26,30	62,70	88,30																																											231	-308	206	371	303,80	58,19783335	11,30500004	58,19785003	11,30491664
403	18	12	10	12	56	38	05		-47	-97	89																																											66	73	55																																											-1	-7	-44																																											1	-21	-105																																											81	121	105																																											324,50	307,00	58,30																																											182	55	103	117	27,80	58,19785003	11,30491664	58,19786671	11,30493332
404	18	12	10	12	56	58	06		164	64	79																																											-184	-190	-273																																											-26	14	16																																											-186	-171	-122																																											246	200	284																																											138,30	161,40	163,90																																											282	102	-39	109	110,70	58,19786671	11,30493332	58,19785003	11,30498336
405	18	12	10	12	57	16	08		93	35	-2																																											49	23	29																																											-226	-192	-151																																											-53	26	41																																											105	42	29																																											62,20	56,70	356,10																																											281	145	344	373	22,90	58,19786671	11,30501663	58,19791666	11,30504999
406	18	12	10	12	57	37	04		-2	-78	-81																																											89	84	58																																											34	54	66																																											-10	10	-50																																											89	115	100																																											358,70	317,10	305,60																																											179	163	137	213	49,90	58,19791666	11,30506667	58,19793334	11,30511663
407	18	12	10	12	57	57	09		200	109	69																																											-19	64	96																																											83	69	66																																											49	57	-16																																											201	126	118																																											95,40	59,60	35,70																																											209	236	137	273	59,80	58,19793334	11,30511663	58,19795002	11,30520003
408	18	12	10	12	58	18	04		62	36																																												-110	-21																																												-141	-64																																												71	3																																												126	42																																												150,60	120,30																																												92	-36	-103	109	199,40	58,19793334	11,30518335	58,19793334	11,30520003
409	18	12	10	12	58	38	05		33	28	-7																																											29	115	51																																											50	38	-3																																											-4	-25	4																																											44	118	51																																											48,70	13,70	352,20																																											41	20	-39	44	152,20	58,19793334	11,30521663	58,19791666	11,30520003
410	18	12	10	12	58	56	08		40	-11	-37																																											69	70	22																																											16	-6	-25																																											-1	0	11																																											80	71	43																																											30,10	351,10	300,70																																											169	-109	-103	150	226,60	58,19791666	11,30520003	58,19789998	11,30514999
411	18	12	10	12	59	17	07		39	3	-17																																											54	45	9																																											0	-2	-26																																											-27	-17	-16																																											67	45	19																																											35,80	3,80	297,90																																											390	-218	0	218	270,00	58,19789998	11,30514999	58,19789998	11,30508335
412	18	12	10	12	59	38	02		-273	-201	-313																																											204	127	185																																											-102	-36	-42																																											28	-9	-33																																											341	238	364																																											306,80	302,30	300,60																																											1382	-980	0	980	270,00	58,19789998	11,30506667	58,19789998	11,30475000
413	18	12	10	12	59	58	07		-199	-57	-159																																											72	-12	67																																											-242	-142	-84																																											58	-8	1																																											212	58	173																																											289,90	258,10	292,80																																											2039	-1164	-1199	1671	224,20	58,19789998	11,30469996	58,19769999	11,30438330
414	18	12	10	13	00	17	04		-63	-84																																												-125	-122																																												-1	42																																												-73	-70																																												140	148																																												206,70	214,50																																												3118	18	-2888	2888	179,60	58,19765003	11,30435002	58,19718333	11,30436670
415	18	12	10	13	00	37	05		-20	23																																												-150	-254																																												-128	-172																																												-10	1																																												151	255																																												187,60	174,80																																												4396	744	-4263	4327	170,10	58,19713337	11,30439998	58,19643332	11,30461665
416	18	12	10	13	00	57	06		53	55																																												-32	-10																																												3	55																																												0	-15																																												62	56																																												121,10	100,30																																												5132	999	-4985	5084	168,70	58,19635000	11,30463333	58,19545004	11,30498336
