Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.38880	11.57878	2.019	7.0763	0.6706	44.701	345.532682	2.000	26.9328	7.0761	1021.0720	21.0626	21.0626	5.7503	80.919	7.10608	7.11188	27.0799	2.0053e-02	7.1795	1021.0879	21.0786	25.6614	30.1421	34.5226	38.8050	9.7935e-04	6.6953e-06	27.0599	28560.2613	14
58.38880	11.57878	2.523	7.3501	0.6764	45.762	345.532694	2.500	27.4365	7.3499	1021.4361	21.4244	21.4244	5.7270	81.375	7.03784	7.04335	27.5847	1.8801e-02	7.4492	1021.4513	21.4396	26.0119	30.4823	34.8528	39.1255	9.7900e-04	6.3492e-06	27.5659	29637.0196	25
58.38880	11.57878	3.028	7.4663	0.5866	46.754	345.532705	3.000	27.6428	7.4660	1021.5856	21.5717	21.5716	5.6961	81.264	7.00946	7.01485	27.7914	1.8288e-02	7.5636	1021.6006	21.5866	26.1544	30.6205	34.9869	39.2555	9.7886e-04	6.2084e-06	27.7731	30093.8314	23
58.38880	11.57879	3.533	7.7624	0.6579	47.732	345.532717	3.500	28.1247	7.7621	1021.9275	21.9112	21.9112	5.7728	83.185	6.94009	6.94513	28.2744	1.7090e-02	7.8555	1021.9418	21.9255	26.4825	30.9381	35.2943	39.5531	9.7853e-04	5.8839e-06	28.2573	31259.1135	24
58.38880	11.57880	4.038	8.1289	0.6345	48.722	345.532728	4.000	28.6554	8.1285	1022.2968	22.2783	22.2782	5.9154	86.250	6.85829	6.86286	28.8063	1.5771e-02	8.2173	1022.3104	22.2919	26.8361	31.2792	35.6234	39.8706	9.7818e-04	5.5333e-06	28.7905	32703.4532	24
58.38880	11.57879	4.542	8.6168	0.4319	49.734	345.532740	4.500	29.4083	8.6164	1022.8198	22.7990	22.7989	6.1711	91.437	6.74995	6.75389	29.5609	1.3899e-02	8.6973	1022.8323	22.8115	27.3387	31.7652	36.0933	40.3250	9.7768e-04	5.0365e-06	29.5470	34619.5501	25
58.38880	11.57878	5.047	9.0282	0.4345	50.778	345.532752	5.000	29.9848	9.0277	1023.2126	23.1895	23.1895	6.5874	98.875	6.66295	6.66635	30.1386	1.2466e-02	9.1022	1023.2243	23.2013	27.7147	32.1279	36.4430	40.6622	9.7730e-04	4.6642e-06	30.1262	36235.7132	25
58.38881	11.57878	5.552	9.2597	0.3395	51.821	345.532764	5.500	30.3381	9.2591	1023.4560	23.4307	23.4306	7.0100	106.003	6.61353	6.61663	30.4928	1.1588e-02	9.3291	1023.4672	23.4420	27.9474	32.3530	36.6607	40.8727	9.7707e-04	4.4345e-06	30.4812	37141.7035	25
58.38882	11.57878	6.056	9.4822	0.3160	52.846	345.532776	6.000	30.8548	9.4815	1023.8273	23.7998	23.7997	7.7167	117.658	6.55915	6.56203	31.0106	1.0304e-02	9.5440	1023.8378	23.8102	28.3069	32.7039	37.0033	41.2074	9.7672e-04	4.0832e-06	31.0003	37999.5009	24
58.38882	11.57878	6.561	9.8146	0.3006	53.850	345.532788	6.500	31.5126	9.8139	1024.2901	24.2604	24.2603	8.5098	131.254	6.48381	6.48632	31.6699	8.6686e-03	9.8665	1024.2996	24.2698	28.7543	33.1394	37.4274	41.6204	9.7628e-04	3.6451e-06	31.6613	39286.8049	24
58.38882	11.57878	7.066	9.9076	0.2156	54.825	345.532799	7.000	31.6912	9.9068	1024.4166	24.3846	24.3845	10.1416	156.935	6.46322	6.46562	31.8489	8.2247e-03	9.9566	1024.4258	24.3938	28.8749	33.2567	37.5416	41.7315	9.7616e-04	3.5271e-06	31.8407	39646.5984	23
58.38882	11.57877	7.571	10.0680	0.2133	55.798	345.532810	7.500	32.1722	10.0672	1024.7678	24.7335	24.7334	11.6990	182.207	6.42075	6.42302	32.3310	7.0290e-03	10.1089	1024.7761	24.7419	29.2160	33.5910	37.8693	42.0529	9.7582e-04	3.1957e-06	32.3239	40254.3918	23
58.38882	11.57876	8.075	10.0911	0.1629	56.785	345.532822	8.000	32.3265	10.0902	1024.8865	24.8500	24.8498	12.8832	200.952	6.41118	6.41346	32.4855	6.6457e-03	10.1292	1024.8945	24.8580	29.3305	33.7040	37.9807	42.1628	9.7571e-04	3.0852e-06	32.4789	40335.6974	25
58.38882	11.57876	8.580	10.1533	0.1472	57.812	345.532834	8.500	32.4652	10.1523	1024.9866	24.9479	24.9477	13.1143	205.009	6.39683	6.39905	32.6246	6.3007e-03	10.1889	1024.9945	24.9557	29.4258	33.7970	38.0715	42.2515	9.7562e-04	2.9923e-06	32.6183	40574.0360	25
58.38882	11.57876	9.085	10.1544	0.1421	58.854	345.532846	9.000	32.6065	10.1534	1025.0989	25.0579	25.0577	12.9222	202.196	6.39089	6.39316	32.7662	5.9496e-03	10.1874	1025.1065	25.0654	29.5345	33.9047	38.1782	42.3573	9.7551e-04	2.8880e-06	32.7602	40567.9343	25
58.38882	11.57876	9.589	10.1246	0.0861	59.892	345.532858	9.500	32.6291	10.1235	1025.1238	25.0805	25.0803	12.7358	199.180	6.39410	6.39643	32.7889	5.8933e-03	10.1571	1025.1313	25.0880	29.5575	33.9282	38.2022	42.3817	9.7549e-04	2.8666e-06	32.7830	40447.0828	24
58.38882	11.57876	10.094	10.1754	0.0688	60.912	345.532869	10.000	32.6898	10.1743	1025.1649	25.1193	25.1191	12.0975	189.480	6.38456	6.38682	32.8497	5.7424e-03	10.2069	1025.1723	25.1267	29.5947	33.9639	38.2365	42.4145	9.7545e-04	2.8299e-06	32.8440	40645.6552	24
58.38882	11.57876	10.599	10.2702	0.0845	61.902	345.532881	10.500	32.8606	10.2690	1025.2843	25.2365	25.2363	11.4779	180.336	6.36449	6.36663	33.0209	5.3180e-03	10.2987	1025.2915	25.2436	29.7083	34.0743	38.3438	42.5189	9.7533e-04	2.7188e-06	33.0155	41012.0893	24
58.38882	11.57876	11.104	10.3200	0.0627	62.884	345.532892	11.000	33.1498	10.3187	1025.5037	25.4536	25.4534	10.5354	166.017	6.34588	6.34803	33.3108	4.5990e-03	10.3431	1025.5103	25.4602	29.9218	34.2847	38.5512	42.7234	9.7512e-04	2.5130e-06	33.3061	41189.4862	24
58.38882	11.57876	11.608	10.3460	0.0366	63.873	345.532904	11.500	33.3137	10.3446	1025.6293	25.5769	25.5767	10.3198	162.884	6.33566	6.33782	33.4749	4.1917e-03	10.3661	1025.6355	25.5832	30.0430	34.4042	38.6691	42.8398	9.7500e-04	2.3962e-06	33.4708	41281.1240	24
58.38882	11.57876	12.113	10.3498	0.0255	64.881	345.532915	12.000	33.3514	10.3484	1025.6604	25.6057	25.6055	10.0295	158.354	6.33361	6.33577	33.5128	4.0978e-03	10.3691	1025.6665	25.6119	30.0714	34.4323	38.6968	42.8672	9.7498e-04	2.3690e-06	33.5087	41293.3786	24
58.38883	11.57876	12.618	10.3582	0.0506	65.889	345.532927	12.500	33.4319	10.3568	1025.7239	25.6670	25.6668	9.8494	155.618	6.32920	6.33138	33.5934	3.8979e-03	10.3760	1025.7299	25.6730	30.1318	34.4919	38.7557	42.9254	9.7491e-04	2.3110e-06	33.5895	41320.8106	24
58.38884	11.57876	13.122	10.3433	0.0463	66.907	345.532939	13.000	33.4670	10.3418	1025.7561	25.6970	25.6967	9.5235	150.455	6.32982	6.33204	33.6286	3.8106e-03	10.3603	1025.7621	25.7029	30.1617	34.5219	38.7858	42.9555	9.7489e-04	2.2827e-06	33.6248	41258.3247	25
58.38884	11.57877	13.627	10.3410	0.0356	67.925	345.532950	13.500	33.5074	10.3394	1025.7903	25.7289	25.7286	8.9065	140.736	6.32851	6.33074	33.6691	3.7102e-03	10.3572	1025.7962	25.7347	30.1933	34.5533	38.8169	42.9864	9.7485e-04	2.2526e-06	33.6654	41245.8005	24
58.38884	11.57878	14.132	10.3388	0.0315	68.926	345.532962	14.000	33.5822	10.3372	1025.8513	25.7876	25.7874	8.6758	137.150	6.32578	6.32804	33.7441	3.5241e-03	10.3536	1025.8570	25.7934	30.2514	34.6109	38.8741	43.0432	9.7479e-04	2.1970e-06	33.7406	41231.3051	24
58.38884	11.57878	14.637	10.3457	0.0133	69.910	345.532974	14.500	33.6597	10.3440	1025.9128	25.8469	25.8466	8.4020	132.907	6.32170	6.32397	33.8218	3.3316e-03	10.3590	1025.9184	25.8524	30.3098	34.6686	38.9311	43.0996	9.7474e-04	2.1410e-06	33.8184	41252.9423	23
58.38884	11.57878	15.141	10.3552	0.0237	70.889	345.532985	15.000	33.7283	10.3534	1025.9670	25.8988	25.8985	8.1635	129.217	6.31764	6.31992	33.8905	3.1610e-03	10.3671	1025.9724	25.9042	30.3609	34.7190	38.9809	43.1487	9.7469e-04	2.0919e-06	33.8874	41285.2123	24
58.38884	11.57878	15.646	10.3285	0.0580	71.870	345.532996	15.500	33.7719	10.3267	1026.0078	25.9373	25.9370	7.8787	124.672	6.31952	6.32187	33.9342	3.0527e-03	10.3395	1026.0132	25.9427	30.3996	34.7580	39.0201	43.1881	9.7465e-04	2.0555e-06	33.9311	41175.2001	23
58.38884	11.57878	16.151	10.2514	0.0102	72.862	345.533008	16.000	33.7941	10.2495	1026.0407	25.9679	25.9676	7.6873	121.459	6.32917	6.33167	33.9565	2.9975e-03	10.2619	1026.0459	25.9732	30.4315	34.7914	39.0549	43.2243	9.7462e-04	2.0266e-06	33.9534	40865.2122	24
58.38884	11.57878	16.656	10.2063	0.0106	73.869	345.533019	16.500	33.8365	10.2044	1026.0838	26.0087	26.0084	7.4600	117.784	6.33364	6.33624	33.9989	2.8922e-03	10.2158	1026.0889	26.0138	30.4729	34.8334	39.0975	43.2675	9.7457e-04	1.9881e-06	33.9960	40681.4703	25
58.38884	11.57878	17.160	10.2125	-0.0151	74.885	345.533031	17.000	33.8740	10.2105	1026.1143	26.0369	26.0366	7.3343	115.843	6.33126	6.33387	34.0365	2.7990e-03	10.2213	1026.1193	26.0420	30.5006	34.8607	39.1245	43.2941	9.7455e-04	1.9615e-06	34.0337	40703.3161	24
