Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.41394	11.59888	2.019	7.1495	0.5348	49.586	345.569254	2.000	27.4346	7.1493	1021.4615	21.4521	21.4521	5.4165	76.620	7.06803	7.07395	27.5827	1.8806e-02	7.2477	1021.4767	21.4673	26.0442	30.5190	34.8939	39.1707	9.7898e-04	6.3223e-06	27.5639	28832.5908	14
58.41394	11.59888	2.524	8.6117	0.5898	50.591	345.569266	2.500	29.1901	8.6115	1022.6391	22.6276	22.6276	5.2630	77.847	6.76113	6.76499	29.3422	1.4442e-02	8.6955	1022.6521	22.6405	27.1695	31.5978	35.9277	40.1610	9.7785e-04	5.1999e-06	29.3277	34612.2117	24
58.41394	11.59888	3.028	9.4252	0.5172	51.579	345.569278	3.000	30.3503	9.4249	1023.4284	23.4147	23.4146	5.2534	79.733	6.58875	6.59155	30.5050	1.1558e-02	9.4957	1023.4398	23.4260	27.9277	32.3295	36.6336	40.8422	9.7710e-04	4.4494e-06	30.4934	37806.6386	23
58.41394	11.59888	3.533	9.4414	0.4071	52.545	345.569289	3.500	30.5543	9.4410	1023.5876	23.5715	23.5714	5.4111	82.265	6.57773	6.58058	30.7094	1.1051e-02	9.5084	1023.5985	23.5825	28.0822	32.4823	36.7846	40.9915	9.7695e-04	4.3001e-06	30.6983	37857.4184	23
58.41395	11.59887	4.038	9.4656	0.2710	53.525	345.569300	4.000	30.7297	9.4652	1023.7231	23.7047	23.7047	5.6778	86.462	6.56679	6.56966	30.8852	1.0615e-02	9.5297	1023.7338	23.7154	28.2134	32.6116	36.9122	41.1174	9.7682e-04	4.1733e-06	30.8746	37942.3924	24
58.41396	11.59886	4.542	9.5771	0.3337	54.545	345.569312	4.500	30.9838	9.5766	1023.9062	23.8856	23.8855	5.8985	90.192	6.53995	6.54270	31.1399	9.9831e-03	9.6373	1023.9165	23.8959	28.3895	32.7835	37.0800	41.2813	9.7664e-04	4.0012e-06	31.1299	38372.0250	25
58.41396	11.59886	5.047	9.6975	0.2156	55.585	345.569324	5.000	31.2752	9.6970	1024.1168	24.0939	24.0939	6.0964	93.643	6.51042	6.51306	31.4320	9.2587e-03	9.7532	1024.1267	24.1038	28.5925	32.9819	37.2739	41.4708	9.7644e-04	3.8031e-06	31.4227	38834.5405	25
58.41396	11.59886	5.552	9.8163	0.1844	56.608	345.569336	5.500	31.5687	9.8157	1024.3290	24.3038	24.3037	6.3518	98.003	6.48122	6.48374	31.7261	8.5293e-03	9.8673	1024.3384	24.3132	28.7972	33.1819	37.4694	41.6620	9.7624e-04	3.6036e-06	31.7175	39290.1558	24
58.41396	11.59886	6.056	9.8679	0.1939	57.622	345.569348	6.000	31.7595	9.8672	1024.4718	24.4444	24.4443	6.4796	100.212	6.46598	6.46848	31.9173	8.0549e-03	9.9156	1024.4809	24.4534	28.9349	33.3171	37.6023	41.7926	9.7610e-04	3.4701e-06	31.9093	39482.9088	24
58.41396	11.59886	6.561	9.9295	0.1788	58.615	345.569359	6.500	32.0080	9.9288	1024.6580	24.6282	24.6281	6.9133	107.235	6.44698	6.44946	32.1664	7.4371e-03	9.9729	1024.6665	24.6368	29.1152	33.4943	37.7765	41.9639	9.7593e-04	3.2955e-06	32.1590	39711.8011	24
58.41396	11.59886	7.066	10.0097	0.1570	59.583	345.569370	7.000	32.1912	10.0089	1024.7899	24.7579	24.7578	7.1597	111.381	6.42814	6.43053	32.3499	6.9820e-03	10.0501	1024.7982	24.7662	29.2414	33.6176	37.8969	42.0815	9.7580e-04	3.1724e-06	32.3430	40019.6904	23
58.41396	11.59886	7.571	10.0521	0.1628	60.545	345.569381	7.500	32.2505	10.0513	1024.8314	24.7972	24.7970	7.4786	116.495	6.41976	6.42209	32.4094	6.8345e-03	10.0915	1024.8396	24.8054	29.2792	33.6541	37.9321	42.1155	9.7576e-04	3.1352e-06	32.4026	40185.1048	23
58.41396	11.59886	8.075	10.1376	0.1248	61.514	345.569393	8.000	32.4500	10.1367	1024.9750	24.9386	24.9384	8.1147	126.804	6.39964	6.40189	32.6093	6.3386e-03	10.1735	1024.9829	24.9464	29.4170	33.7886	38.0636	42.2440	9.7563e-04	3.0011e-06	32.6030	40512.5688	24
58.41396	11.59886	8.580	10.2229	0.1225	62.511	345.569404	8.500	32.7248	10.2220	1025.1773	25.1386	25.1384	8.9357	140.136	6.37655	6.37873	32.8848	5.6555e-03	10.2540	1025.1847	25.1459	29.6126	33.9806	38.2519	42.4288	9.7543e-04	2.8113e-06	32.8791	40833.9512	24
58.41396	11.59885	9.085	10.2699	0.0968	63.534	345.569416	9.000	32.8861	10.2688	1025.2975	25.2564	25.2563	9.8833	155.315	6.36349	6.36564	33.0464	5.2545e-03	10.2980	1025.3045	25.2635	29.7281	34.0939	38.3632	42.5381	9.7532e-04	2.6996e-06	33.0412	41009.5650	25
