Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.31918	11.54270	2.019	5.8872	0.7328	22.357	345.434877	2.000	24.0702	5.8871	1018.9511	18.9417	18.9416	7.1776	96.386	7.44743	7.45397	24.2109	2.7168e-02	6.0102	1018.9714	18.9619	23.5974	28.1293	32.5595	36.8899	9.8138e-04	8.7291e-06	24.1837	23892.6883	15
58.31918	11.54270	2.523	6.5783	0.6916	23.426	345.434889	2.500	26.3832	6.5781	1020.6999	20.6882	20.6882	6.8419	94.815	7.21590	7.22240	26.5290	2.1419e-02	6.6829	1020.7166	20.7049	25.3045	29.8014	34.1977	38.4953	9.7970e-04	7.0540e-06	26.5076	26577.8433	25
58.31918	11.54270	3.028	6.7852	0.6146	24.468	345.434901	3.000	27.2406	6.7850	1021.3530	21.3389	21.3389	6.7212	94.131	7.14024	7.14680	27.3883	1.9288e-02	6.8813	1021.3684	21.3543	25.9420	30.4274	34.8124	39.0991	9.7908e-04	6.4310e-06	27.3690	27370.0036	26
58.31918	11.54270	3.533	7.1701	0.5432	25.539	345.434914	3.500	27.6921	7.1698	1021.6636	21.6472	21.6472	6.6610	94.409	7.05558	7.06159	27.8409	1.8165e-02	7.2639	1021.6783	21.6620	26.2366	30.7094	35.0822	39.3571	9.7878e-04	6.1362e-06	27.8227	28897.5430	25
58.31918	11.54270	4.038	7.8056	0.5032	26.572	345.434926	4.000	28.5365	7.8053	1022.2468	22.2282	22.2281	6.6850	96.684	6.91479	6.91993	28.6871	1.6066e-02	7.8931	1022.2604	22.2418	26.7946	31.2462	35.5984	39.8534	9.7822e-04	5.5813e-06	28.6711	31409.0588	24
58.31917	11.54271	4.542	8.3607	0.4298	27.543	345.434937	4.500	29.7486	8.3602	1023.1230	23.1022	23.1021	6.7789	100.077	6.77405	6.77864	29.9019	1.3053e-02	8.4341	1023.1348	23.1140	27.6445	32.0744	36.4056	40.6403	9.7739e-04	4.7475e-06	29.8889	33568.9576	23
58.31916	11.54272	5.047	8.8175	0.3360	28.536	345.434948	5.000	31.0049	8.8170	1024.0420	24.0190	24.0189	7.0064	105.359	6.65037	6.65460	31.1610	9.9306e-03	8.8736	1024.0518	24.0288	28.5394	32.9498	37.2623	41.4789	9.7651e-04	3.8745e-06	31.1511	35323.4538	25
58.31916	11.54272	5.552	9.1474	0.2890	29.558	345.434960	5.500	31.8471	9.1468	1024.6525	24.6272	24.6272	7.3278	111.618	6.56591	6.56983	32.0051	7.8371e-03	9.1909	1024.6610	24.6357	29.1326	33.5297	37.8293	42.0335	9.7593e-04	3.2962e-06	31.9973	36590.1353	24
58.31916	11.54272	6.056	9.4648	0.2329	30.551	345.434972	6.000	32.2797	9.4641	1024.9431	24.9156	24.9155	7.8471	120.694	6.50171	6.50517	32.4387	6.7619e-03	9.5020	1024.9509	24.9234	29.4100	33.7972	38.0871	42.2819	9.7566e-04	3.0224e-06	32.4319	37831.7644	23
58.31916	11.54272	6.561	9.3273	0.1747	31.516	345.434983	6.500	32.4499	9.3266	1025.1003	25.0705	25.0704	8.0685	123.858	6.51431	6.51810	32.6093	6.3387e-03	9.3611	1025.1078	25.0780	29.5663	33.9553	38.2469	42.4433	9.7551e-04	2.8754e-06	32.6029	37269.3993	24
58.31916	11.54272	7.066	9.3371	0.1792	32.488	345.434994	7.000	32.6123	9.3363	1025.2280	25.1959	25.1958	8.1539	125.328	6.50609	6.50993	32.7720	5.9351e-03	9.3681	1025.2351	25.2031	29.6900	34.0776	38.3679	42.5630	9.7539e-04	2.7565e-06	32.7661	37297.2057	23
58.31916	11.54272	7.570	9.3820	0.2148	33.471	345.435005	7.500	32.7714	9.3812	1025.3474	25.3131	25.3130	8.2847	127.594	6.49299	6.49680	32.9314	5.5398e-03	9.4103	1025.3543	25.3200	29.8047	34.1902	38.4785	42.6717	9.7527e-04	2.6454e-06	32.9259	37465.7190	24
