Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.22251	11.29721	4.038	6.7979	0.9145	-0.887	344.527316	4.000	28.3768	6.7976	1022.2498	22.2311	22.2311	5.2265	73.770	7.08489	7.09204	28.5271	1.6463e-02	6.8794	1022.2633	22.2447	26.8231	31.2996	35.6760	39.9543	9.7822e-04	5.5783e-06	28.5106	27362.4834	32
58.22248	11.29726	4.542	6.8034	0.9127	29.270	344.527665	4.500	28.4019	6.8030	1022.2712	22.2502	22.2502	5.4532	76.993	7.08281	7.08997	28.5523	1.6401e-02	6.8846	1022.2847	22.2637	26.8418	31.3180	35.6941	39.9721	9.7820e-04	5.5602e-06	28.5359	27383.1377	46
58.22248	11.29723	5.047	6.8194	0.8773	39.170	344.527780	5.000	28.4449	6.8190	1022.3054	22.2821	22.2820	5.6734	80.154	7.07816	7.08530	28.5953	1.6294e-02	6.9001	1022.3188	22.2955	26.8729	31.3484	35.7238	40.0011	9.7817e-04	5.5298e-06	28.5790	27445.2829	40
58.22248	11.29722	5.552	6.8208	0.9828	40.080	344.527790	5.500	28.4402	6.8203	1022.3039	22.2783	22.2782	5.8414	82.526	7.07816	7.08529	28.5907	1.6306e-02	6.9015	1022.3174	22.2917	26.8691	31.3446	35.7200	39.9973	9.7817e-04	5.5335e-06	28.5744	27450.7474	22
58.22247	11.29721	6.056	7.2454	0.9848	40.877	344.527799	6.000	30.3042	7.2449	1023.7159	23.6880	23.6879	5.8171	84.000	6.92538	6.93254	30.4587	1.1673e-02	7.3027	1023.7263	23.6984	28.2512	32.7028	37.0551	41.3100	9.7682e-04	4.1909e-06	30.4471	29052.5687	18
58.22246	11.29720	6.561	8.0815	0.9455	41.584	344.527808	6.500	32.7417	8.0809	1025.5190	25.4891	25.4890	5.7539	86.069	6.68510	6.69163	32.9017	5.6136e-03	8.1074	1025.5254	25.4954	30.0098	34.4241	38.7402	42.9602	9.7511e-04	2.4780e-06	32.8961	32264.8940	16
58.22246	11.29720	7.066	8.1903	0.8511	42.258	344.527815	7.000	32.8823	8.1896	1025.6154	25.5832	25.5831	5.9591	89.438	6.66285	6.66920	33.0426	5.2641e-03	8.2140	1025.6215	25.5893	30.1001	34.5109	38.8237	43.0405	9.7502e-04	2.3890e-06	33.0373	32690.6252	17
58.22248	11.29718	7.570	8.2144	0.5454	42.939	344.527823	7.500	32.9396	8.2137	1025.6591	25.6246	25.6245	6.2093	93.278	6.65674	6.66307	33.1000	5.1216e-03	8.2373	1025.6651	25.6306	30.1404	34.5503	38.8621	43.0781	9.7498e-04	2.3499e-06	33.0949	32783.4108	16
58.22248	11.29718	8.075	8.2151	0.4286	43.608	344.527831	8.000	32.9860	8.2143	1025.6977	25.6609	25.6608	6.5664	98.675	6.65463	6.66097	33.1465	5.0063e-03	8.2372	1025.7036	25.6668	30.1763	34.5858	38.8973	43.1129	9.7494e-04	2.3155e-06	33.1415	32783.0877	16
58.22248	11.29718	8.580	8.1887	0.3566	44.334	344.527840	8.500	33.0351	8.1878	1025.7424	25.7033	25.7032	7.0988	106.645	6.65647	6.66289	33.1957	4.8843e-03	8.2099	1025.7482	25.7091	30.2189	34.6286	38.9403	43.1561	9.7490e-04	2.2754e-06	33.1908	32673.9809	20
