Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.26800	11.46838	2.019	4.4694	1.3181	93.182	344.676507	2.000	15.5548	4.4693	1012.3455	12.3358	12.3358	7.5001	91.944	8.15610	8.15926	15.6765	4.8335e-02	4.6429	1012.3800	12.3703	17.1137	21.7507	26.2831	30.7127	9.8777e-04	1.5113e-05	15.6282	18433.8476	26
58.26800	11.46838	2.523	5.6723	1.2922	95.160	344.676530	2.500	21.9424	5.6721	1017.2927	17.2808	17.2808	7.0902	93.311	7.59624	7.60176	22.0783	3.2457e-02	5.8121	1017.3163	17.3045	21.9630	26.5174	30.9694	35.3210	9.8298e-04	1.0331e-05	22.0459	23101.5563	43
58.26800	11.46834	3.028	6.4608	1.1766	96.584	344.676546	3.000	25.9802	6.4606	1020.3989	20.3848	20.3847	6.5493	90.278	7.25482	7.26134	26.1251	2.2421e-02	6.5691	1020.4162	20.4021	25.0077	29.5106	33.9127	38.2158	9.7999e-04	7.3445e-06	26.1027	26123.5771	28
58.26800	11.46834	3.533	6.5585	0.8890	97.637	344.676558	3.500	26.5983	6.5582	1020.8765	20.8600	20.8600	6.5267	90.538	7.20879	7.21546	26.7446	2.0884e-02	6.6602	1020.8928	20.8764	25.4747	29.9705	34.3657	38.6621	9.7954e-04	6.8893e-06	26.7238	26487.5052	24
58.26800	11.46834	4.038	6.7119	0.8003	98.622	344.676570	4.000	27.1709	6.7116	1021.3113	21.2926	21.2926	6.3354	88.531	7.15591	7.16258	27.3185	1.9461e-02	6.8080	1021.3268	21.3081	25.8981	30.3858	34.7731	39.0620	9.7912e-04	6.4754e-06	27.2990	27077.3735	22
58.26800	11.46833	4.542	7.3165	0.8091	99.556	344.676580	4.500	28.2161	7.3161	1022.0615	22.0406	22.0405	6.0578	86.447	7.00749	7.01347	28.3660	1.6863e-02	7.4045	1022.0755	22.0545	26.6216	31.0869	35.4526	39.7205	9.7840e-04	5.7604e-06	28.3492	29458.4538	23
58.26800	11.46832	5.047	7.5539	0.7398	100.519	344.676592	5.000	28.9060	7.5534	1022.5750	22.5518	22.5517	5.9487	85.742	6.93781	6.94364	29.0575	1.5148e-02	7.6341	1022.5879	22.5647	27.1207	31.5753	35.9305	40.1884	9.7791e-04	5.2725e-06	29.0423	30375.1502	24
58.26800	11.46832	5.552	7.7779	0.6278	101.483	344.676603	5.500	30.1330	7.7774	1023.5102	23.4847	23.4846	5.8183	84.974	6.84710	6.85306	30.2872	1.2098e-02	7.8419	1023.5212	23.4957	28.0369	32.4772	36.8186	41.0630	9.7702e-04	4.3831e-06	30.2751	31204.9174	23
58.26800	11.46830	6.056	8.0132	0.6420	102.444	344.676614	6.000	30.6090	8.0126	1023.8531	23.8253	23.8252	5.8010	85.443	6.78959	6.79528	30.7643	1.0915e-02	8.0713	1023.8633	23.8355	28.3676	32.7991	37.1319	41.3680	9.7669e-04	4.0589e-06	30.7534	32120.5477	23
58.26800	11.46830	6.561	8.3662	0.5843	103.410	344.676625	6.500	31.3606	8.3656	1024.3943	24.3643	24.3642	5.8464	87.227	6.70252	6.70782	31.5175	9.0465e-03	8.4145	1024.4033	24.3733	28.8916	33.3095	37.6292	41.8527	9.7618e-04	3.5462e-06	31.5085	33490.5674	23
