Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.36746	11.57696	2.019	6.5469	0.8013	43.590	345.492067	2.000	25.9468	6.5467	1020.3575	20.3482	20.3481	6.6585	91.938	7.24222	7.24854	26.0916	2.2504e-02	6.6564	1020.3750	20.3656	24.9694	29.4705	33.8708	38.1722	9.8003e-04	7.3798e-06	26.0691	26472.1089	14
58.36746	11.57696	2.523	7.2022	0.6855	44.635	345.492079	2.500	27.0045	7.2020	1021.1152	21.1035	21.1035	6.3791	90.074	7.08204	7.08762	27.1517	1.9875e-02	7.3057	1021.1311	21.1194	25.6986	30.1757	34.5528	38.8318	9.7931e-04	6.6562e-06	27.1318	29063.9721	25
58.36746	11.57696	3.028	6.7527	0.5883	45.663	345.492091	3.000	26.2101	6.7525	1020.5459	20.5318	20.5318	6.4620	89.815	7.19480	7.20086	26.3556	2.1849e-02	6.8613	1020.5629	20.5488	25.1454	29.6395	34.0329	38.3278	9.7985e-04	7.2038e-06	26.3337	27290.1165	25
58.36746	11.57697	3.533	6.7691	0.6088	46.701	345.492103	3.500	26.1938	6.7688	1020.5342	20.5178	20.5178	6.4779	90.067	7.19235	7.19837	26.3392	2.1890e-02	6.8782	1020.5513	20.5349	25.1311	29.6249	34.0180	38.3126	9.7986e-04	7.2171e-06	26.3174	27357.4774	25
58.36746	11.57698	4.038	6.7743	0.5746	47.719	345.492115	4.000	26.1991	6.7740	1020.5401	20.5213	20.5213	6.4124	89.170	7.19124	7.19725	26.3445	2.1877e-02	6.8834	1020.5571	20.5384	25.1344	29.6280	34.0210	38.3154	9.7986e-04	7.2138e-06	26.3226	27378.3509	24
58.36746	11.57697	4.542	6.7377	0.5840	48.728	345.492126	4.500	26.1288	6.7373	1020.4915	20.4704	20.4703	6.3350	87.977	7.20072	7.20677	26.2741	2.2051e-02	6.8472	1020.5086	20.4875	25.0850	29.5800	33.9744	38.2702	9.7990e-04	7.2627e-06	26.2520	27233.7534	23
58.36742	11.57698	5.047	9.2000	0.3175	74.497	345.492425	5.000	30.5537	9.1995	1023.6245	23.6015	23.6014	5.4006	81.577	6.61745	6.62073	30.7088	1.1052e-02	9.2636	1023.6353	23.6123	28.1180	32.5237	36.8317	41.0439	9.7691e-04	4.2729e-06	30.6978	36880.2084	26
58.36742	11.57698	5.552	9.6996	0.2248	78.644	345.492473	5.500	31.6471	9.6990	1024.4090	24.3838	24.3837	5.2872	81.410	6.49459	6.49736	31.8046	8.3344e-03	9.7487	1024.4182	24.3930	28.8790	33.2656	37.5550	41.7494	9.7617e-04	3.5275e-06	31.7963	38816.7982	24
58.36742	11.57698	6.056	9.7539	0.2490	79.640	345.492484	6.000	31.9032	9.7532	1024.6025	24.5750	24.5749	5.3022	81.872	6.47617	6.47894	32.0614	7.6977e-03	9.7987	1024.6112	24.5838	29.0667	33.4503	37.7369	41.9284	9.7598e-04	3.3459e-06	32.0537	39016.1685	24
58.36742	11.57697	6.561	9.5373	0.1789	80.607	345.492496	6.500	31.9509	9.5366	1024.6770	24.6472	24.6471	5.3807	82.715	6.50509	6.50828	32.1092	7.5791e-03	9.5804	1024.6854	24.6557	29.1430	33.5310	37.8217	42.0173	9.7591e-04	3.2774e-06	32.1016	38144.7902	21
58.36740	11.57699	7.066	9.7284	0.1421	112.399	345.492863	7.000	31.8782	9.7277	1024.5917	24.5596	24.5595	6.0793	93.812	6.48085	6.48365	32.0363	7.7599e-03	9.7735	1024.6004	24.5684	29.0520	33.4364	37.7237	41.9159	9.7599e-04	3.3607e-06	32.0285	38915.4220	22
58.36740	11.57700	7.571	9.6651	0.1485	119.885	345.492950	7.500	31.9244	9.6643	1024.6403	24.6059	24.6058	6.3990	98.626	6.48795	6.49089	32.0826	7.6451e-03	9.7090	1024.6489	24.6145	29.0993	33.4847	37.7729	41.9661	9.7594e-04	3.3168e-06	32.0749	38658.2066	22
58.36740	11.57700	8.075	9.5210	0.1494	120.902	345.492962	8.000	32.1316	9.5202	1024.8275	24.7909	24.7907	6.7209	103.406	6.49988	6.50318	32.2902	7.1300e-03	9.5607	1024.8357	24.7990	29.2854	33.6725	37.9622	42.1570	9.7577e-04	3.1412e-06	32.2831	38066.3789	24
58.36740	11.57700	8.580	9.9734	0.1662	121.892	345.492973	8.500	32.6460	9.9725	1025.1576	25.1188	25.1186	6.8683	107.073	6.41455	6.41717	32.8058	5.8513e-03	10.0053	1025.1650	25.1262	29.5989	33.9726	38.2496	42.4319	9.7545e-04	2.8301e-06	32.8000	39840.9925	24
58.36740	11.57700	9.085	10.1684	0.1288	122.878	345.492985	9.000	32.9113	10.1674	1025.3342	25.2932	25.2930	6.8914	108.077	6.37649	6.37884	33.0716	5.1920e-03	10.1959	1025.3412	25.3002	29.7667	34.1345	38.4057	42.5824	9.7528e-04	2.6647e-06	33.0665	40601.9079	23
58.36740	11.57700	9.589	10.2573	0.1004	123.863	345.492996	9.500	33.1668	10.2562	1025.5208	25.4775	25.4773	7.2179	113.601	6.35381	6.35608	33.3278	4.5567e-03	10.2802	1025.5273	25.4840	29.9468	34.3109	38.5785	42.7519	9.7511e-04	2.4900e-06	33.3232	40938.3260	24
58.36740	11.57700	10.094	10.2953	0.0863	124.839	345.493007	10.000	33.3599	10.2942	1025.6671	25.6216	25.6214	7.1490	112.747	6.34074	6.34300	33.5213	4.0769e-03	10.3146	1025.6733	25.6277	30.0883	34.4503	38.7158	42.8872	9.7497e-04	2.3535e-06	33.5172	41075.8704	23
58.36740	11.57700	10.599	10.2923	0.0615	125.809	345.493019	10.500	33.4474	10.2911	1025.7382	25.6904	25.6902	7.1595	112.968	6.33760	6.33990	33.6090	3.8592e-03	10.3099	1025.7442	25.6964	30.1564	34.5178	38.7828	42.9537	9.7490e-04	2.2884e-06	33.6052	41057.0591	24
58.36740	11.57700	11.104	10.2914	0.0614	126.780	345.493030	11.000	33.4762	10.2901	1025.7630	25.7130	25.7128	7.2509	114.429	6.33656	6.33888	33.6378	3.7878e-03	10.3084	1025.7689	25.7189	30.1787	34.5399	38.8048	42.9755	9.7488e-04	2.2671e-06	33.6340	41051.0617	23
58.36740	11.57700	11.608	10.3023	0.0614	127.746	345.493041	11.500	33.5041	10.3010	1025.7852	25.7329	25.7327	7.2742	114.845	6.33394	6.33624	33.6658	3.7184e-03	10.3188	1025.7911	25.7387	30.1981	34.5590	38.8234	42.9937	9.7486e-04	2.2483e-06	33.6621	41092.3694	23
58.36740	11.57700	12.113	10.2972	0.0538	128.729	345.493052	12.000	33.5700	10.2958	1025.8398	25.7852	25.7849	7.3255	115.690	6.33197	6.33430	33.7318	3.5546e-03	10.3124	1025.8455	25.7909	30.2499	34.6104	38.8745	43.0444	9.7481e-04	2.1989e-06	33.7283	41066.8380	24
58.36740	11.57700	12.618	10.2832	0.0503	129.704	345.493064	12.500	33.6176	10.2817	1025.8816	25.8247	25.8245	7.4747	118.047	6.33196	6.33434	33.7796	3.4362e-03	10.2974	1025.8872	25.8303	30.2893	34.6497	38.9138	43.0837	9.7477e-04	2.1615e-06	33.7761	41007.0063	23
58.36740	11.57700	13.122	10.2406	0.0524	130.675	345.493075	13.000	33.6245	10.2391	1025.8966	25.8374	25.8372	7.3442	115.884	6.33751	6.33998	33.7865	3.4190e-03	10.2546	1025.9022	25.8430	30.3028	34.6641	38.9290	43.0997	9.7475e-04	2.1496e-06	33.7831	40836.1694	23
58.36740	11.57700	13.627	10.2349	0.0283	131.648	345.493086	13.500	33.6412	10.2334	1025.9129	25.8514	25.8511	7.1162	112.285	6.33762	6.34010	33.8032	3.3776e-03	10.2485	1025.9184	25.8569	30.3168	34.6781	38.9429	43.1136	9.7473e-04	2.1364e-06	33.7998	40811.8886	24
58.36740	11.57700	14.132	10.2304	0.0348	132.611	345.493097	14.000	33.6583	10.2288	1025.9293	25.8655	25.8653	7.2651	114.635	6.33755	6.34005	33.8204	3.3350e-03	10.2436	1025.9348	25.8711	30.3309	34.6921	38.9570	43.1276	9.7472e-04	2.1231e-06	33.8170	40792.1738	23
58.36740	11.57700	14.637	10.1577	0.0264	133.583	345.493109	14.500	33.6989	10.1560	1025.9756	25.9096	25.9093	7.2416	114.115	6.34589	6.34854	33.8610	3.2342e-03	10.1700	1025.9810	25.9150	30.3761	34.7385	39.0046	43.1764	9.7468e-04	2.0815e-06	33.8578	40498.5593	23
