Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.27164	11.48914	2.019	4.5580	1.3552	130.857	344.657603	2.000	16.0003	4.5579	1012.6922	12.6826	12.6826	14.1098	174.160	8.11364	8.11703	16.1230	4.7228e-02	4.7309	1012.7259	12.7162	17.4533	22.0843	26.6107	31.0346	9.8743e-04	1.4775e-05	16.0757	18785.1173	14
58.27164	11.48913	2.523	5.7011	1.3615	131.828	344.657614	2.500	23.4043	5.7009	1018.4425	18.4306	18.4306	11.8553	157.639	7.51759	7.52399	23.5435	2.8824e-02	5.8263	1018.4638	18.4519	23.0980	27.6401	32.0803	36.4203	9.8187e-04	9.2233e-06	23.5147	23158.3592	23
58.27164	11.48912	3.028	6.5940	1.1892	132.779	344.657625	3.000	26.7459	6.5938	1020.9859	20.9718	20.9718	10.6916	148.567	7.19594	7.20262	26.8925	2.0517e-02	6.6942	1021.0020	20.9880	25.5843	30.0781	34.4713	38.7659	9.7943e-04	6.7824e-06	26.8720	26623.0160	23
58.27164	11.48912	3.533	6.7227	0.8831	133.759	344.657636	3.500	27.1742	6.7224	1021.3105	21.2941	21.2941	9.9413	138.961	7.15382	7.16047	27.3218	1.9453e-02	6.8190	1021.3260	21.3096	25.8993	30.3867	34.7737	39.0623	9.7912e-04	6.4739e-06	27.3023	27121.2019	24
58.27164	11.48912	4.038	6.8136	0.8255	134.787	344.657648	4.000	27.3423	6.8133	1021.4344	21.4157	21.4156	9.3271	130.801	7.13069	7.13724	27.4903	1.9035e-02	6.9086	1021.4496	21.4309	26.0170	30.5010	34.8846	39.1699	9.7900e-04	6.3577e-06	27.4713	27479.0819	25
58.27164	11.48912	4.542	6.9726	0.7756	135.840	344.657660	4.500	27.7892	6.9722	1021.7689	21.7478	21.7478	8.8090	124.354	7.08347	7.08994	27.9381	1.7924e-02	7.0632	1021.7834	21.7624	26.3411	30.8179	35.1945	39.4731	9.7868e-04	6.0401e-06	27.9202	28096.2677	25
58.27164	11.48912	5.047	7.5009	0.7526	136.865	344.657672	5.000	28.5375	7.5005	1022.2926	22.2694	22.2693	8.2834	118.959	6.96302	6.96878	28.6881	1.6064e-02	7.5859	1022.3062	22.2829	26.8430	31.3016	35.6607	39.9223	9.7818e-04	5.5419e-06	28.6721	30182.8213	24
58.27164	11.48912	5.552	7.5860	0.6743	137.851	344.657683	5.500	28.9186	7.5855	1022.5830	22.5575	22.5574	7.9809	115.133	6.93206	6.93783	29.0701	1.5117e-02	7.6663	1022.5959	22.5704	27.1255	31.5792	35.9337	40.1907	9.7790e-04	5.2670e-06	29.0550	30503.6146	24
58.27164	11.48912	6.056	7.6098	0.6442	138.814	344.657695	6.000	29.5329	7.6092	1023.0641	23.0363	23.0362	7.6570	110.956	6.90065	6.90667	29.6858	1.3590e-02	7.6813	1023.0760	23.0482	27.5980	32.0467	36.3962	40.6484	9.7745e-04	4.8105e-06	29.6722	30563.7096	22
58.27164	11.48911	6.561	7.9746	0.6736	139.752	344.657705	6.500	30.5691	7.9740	1023.8297	23.7997	23.7996	7.3910	108.736	6.79712	6.80288	30.7243	1.1014e-02	8.0332	1023.8400	23.8099	28.3432	32.7759	37.1097	41.3470	9.7671e-04	4.0833e-06	30.7132	31968.4006	23
58.27164	11.48910	7.066	8.2240	0.6010	140.699	344.657716	7.000	31.1796	8.2233	1024.2754	24.2431	24.2430	7.2018	106.979	6.73197	6.73748	31.3362	9.4963e-03	8.2745	1024.2847	24.2524	28.7753	33.1977	37.5218	41.7495	9.7629e-04	3.6616e-06	31.3266	32931.5876	23
58.27164	11.48910	7.570	8.4522	0.4923	141.679	344.657728	7.500	31.6218	8.4514	1024.5909	24.5563	24.5562	6.9941	104.728	6.67824	6.68347	31.7792	8.3974e-03	8.4966	1024.5995	24.5649	29.0792	33.4933	37.8093	42.0293	9.7599e-04	3.3639e-06	31.7709	33818.3581	24
58.27164	11.48910	8.075	8.4953	0.3997	142.694	344.657740	8.000	31.7017	8.4945	1024.6495	24.6126	24.6125	6.8264	102.371	6.66830	6.67347	31.8594	8.1986e-03	8.5385	1024.6580	24.6211	29.1338	33.5464	37.8609	42.0794	9.7593e-04	3.3104e-06	31.8512	33985.8229	25
58.27164	11.48910	8.580	8.5874	0.4063	143.726	344.657751	8.500	31.9128	8.5865	1024.8034	24.7642	24.7641	6.7498	101.569	6.64546	6.65053	32.0709	7.6739e-03	8.6275	1024.8115	24.7724	29.2814	33.6904	38.0014	42.2166	9.7579e-04	3.1665e-06	32.0633	34341.1192	24
58.27164	11.48910	9.085	8.6993	0.3613	144.761	344.657763	9.000	32.4082	8.6984	1025.1768	25.1355	25.1353	6.5959	99.824	6.60756	6.61261	32.5675	6.4424e-03	8.7317	1025.1841	25.1427	29.6455	34.0484	38.3536	42.5631	9.7544e-04	2.8141e-06	32.5610	34757.0121	25
58.27164	11.48910	9.589	8.7057	0.3214	145.755	344.657775	9.500	32.4369	8.7047	1025.2006	25.1569	25.1568	6.5474	99.122	6.60537	6.61043	32.5962	6.3712e-03	8.7377	1025.2078	25.1641	29.6665	34.0691	38.3740	42.5831	9.7541e-04	2.7938e-06	32.5898	34780.8239	23
58.27164	11.48910	10.094	8.7938	0.2823	146.702	344.657786	10.000	32.5236	8.7928	1025.2573	25.2114	25.2112	6.5078	98.771	6.58873	6.59364	32.6831	6.1557e-03	8.8245	1025.2644	25.2184	29.7182	34.1182	38.4206	42.6274	9.7536e-04	2.7423e-06	32.6769	35127.4317	22
