PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	6.4838	0.6011	8.8371e-01	3.498	25.472	344.674624	2.000	25.1520	6.4837	1019.7400	19.7306	19.7306	6.5816	90.274	7.29061	7.29662	25.2950	2.4480e-02	6.6024	1019.7586	19.7492	24.3608	28.8695	33.2772	37.5857	9.8062e-04	7.9718e-06	25.2706	26256.6220	14
2.523	6.6716	0.5371	9.7193e-01	2.397	26.476	344.674635	2.500	26.3591	6.6714	1020.6706	20.6589	20.6589	6.5124	90.437	7.20102	7.20733	26.5048	2.1479e-02	6.7776	1020.6874	20.6756	25.2730	29.7679	34.1622	38.4577	9.7973e-04	7.0820e-06	26.4833	26956.0742	24
3.028	6.8364	0.3725	9.4308e-01	1.740	27.534	344.674647	3.000	26.8900	6.8361	1021.0713	21.0573	21.0573	6.4879	90.763	7.14815	7.15441	27.0369	2.0159e-02	6.9374	1021.0873	21.0733	25.6624	30.1492	34.5356	38.8237	9.7935e-04	6.7005e-06	27.0167	27594.1075	26
3.533	6.7935	0.3257	9.8099e-01	1.108	28.654	344.674660	3.500	27.0616	6.7932	1021.2137	21.1972	21.1972	6.5093	91.074	7.14725	7.15369	27.2089	1.9733e-02	6.8919	1021.2293	21.2129	25.8018	30.2883	34.6745	38.9623	9.7921e-04	6.5666e-06	27.1892	27412.5415	28
4.037	6.8720	0.3108	9.3925e-01	1.054	29.770	344.674673	4.000	27.1668	6.8717	1021.2894	21.2707	21.2707	6.4409	90.346	7.12919	7.13552	27.3143	1.9471e-02	6.9699	1021.3050	21.2862	25.8723	30.3562	34.7398	39.0250	9.7914e-04	6.4963e-06	27.2949	27723.5389	26
4.542	6.9203	0.3033	9.1468e-01	1.053	30.837	344.674686	4.500	27.1892	6.9199	1021.3037	21.2827	21.2826	6.3749	89.534	7.12010	7.12635	27.3369	1.9415e-02	7.0183	1021.3192	21.2982	25.8828	30.3654	34.7477	39.0317	9.7913e-04	6.4849e-06	27.3175	27916.7531	25
5.047	7.1055	0.3010	8.8864e-01	0.914	31.885	344.674698	5.000	27.2775	7.1051	1021.3529	21.3295	21.3294	6.2334	87.972	7.08544	7.09137	27.4254	1.9196e-02	7.2041	1021.3683	21.3449	25.9244	30.4018	34.7791	39.0584	9.7908e-04	6.4402e-06	27.4062	28658.6874	25
5.551	7.5649	0.3030	8.0990e-01	0.845	32.927	344.674710	5.500	27.9310	7.5644	1021.8109	21.7853	21.7852	6.0908	87.256	6.98037	6.98570	28.0803	1.7571e-02	7.6589	1021.8254	21.7998	26.3630	30.8246	35.1867	39.4511	9.7864e-04	6.0044e-06	28.0627	30474.2082	26
6.056	7.8508	0.2595	8.2437e-01	0.818	33.997	344.674722	6.000	28.7610	7.8502	1022.4264	22.3985	22.3984	6.0695	87.999	6.89737	6.90252	28.9122	1.5508e-02	7.9352	1022.4396	22.4118	26.9618	31.4106	35.7602	40.0127	9.7805e-04	5.4188e-06	28.8967	31577.3339	25
6.561	8.2083	0.2084	8.8907e-01	0.726	35.072	344.674735	6.500	29.4652	8.2077	1022.9319	22.9018	22.9017	5.9904	87.965	6.80988	6.81466	29.6179	1.3758e-02	8.2850	1022.9442	22.9141	27.4503	31.8856	36.2223	40.4621	9.7757e-04	4.9386e-06	29.6042	32973.5652	26
7.066	8.1768	0.1819	8.6331e-01	0.738	36.139	344.674747	7.000	29.6768	8.1762	1023.1044	23.0720	23.0719	5.9528	87.473	6.80538	6.81031	29.8300	1.3232e-02	8.2501	1023.1163	23.0839	27.6192	32.0538	36.3895	40.6286	9.7741e-04	4.7765e-06	29.8167	32834.1287	26
7.570	8.0043	0.1551	7.0709e-01	0.769	37.202	344.674759	7.500	30.0496	8.0036	1023.4230	23.3882	23.3881	5.9301	87.009	6.81554	6.82099	30.2036	1.2305e-02	8.0708	1023.4341	23.3994	27.9360	32.3717	36.7086	40.9488	9.7710e-04	4.4752e-06	30.1913	32118.5384	25
8.075	8.3179	0.1157	8.1529e-01	0.778	38.242	344.674771	8.000	30.6933	8.3172	1023.8853	23.8483	23.8482	5.7512	85.338	6.73907	6.74417	30.8488	1.0705e-02	8.3762	1023.8955	23.8585	28.3829	32.8068	37.1323	41.3614	9.7666e-04	4.0372e-06	30.8380	33337.9095	25
8.580	8.4831	0.1003	7.7418e-01	0.767	39.306	344.674784	8.500	31.0508	8.4822	1024.1438	24.1046	24.1044	5.6227	83.941	6.69837	6.70329	31.2070	9.8166e-03	8.5366	1024.1534	24.1142	28.6320	33.0496	37.3690	41.5922	9.7642e-04	3.7935e-06	31.1972	33977.9594	26
9.084	8.6769	0.0866	5.4265e-01	0.815	40.401	344.674796	9.000	31.4583	8.6760	1024.4363	24.3949	24.3948	5.5978	84.156	6.65178	6.65648	31.6155	8.8036e-03	8.7246	1024.4453	24.4039	28.9143	33.3246	37.6369	41.8533	9.7614e-04	3.5176e-06	31.6067	34728.7179	26
9.589	8.9667	0.0811	5.0515e-01	0.742	41.487	344.674809	9.500	31.6751	8.9657	1024.5646	24.5209	24.5207	5.6053	84.935	6.59952	6.60372	31.8328	8.2646e-03	9.0121	1024.5733	24.5296	29.0318	33.4341	37.7387	41.9477	9.7602e-04	3.3979e-06	31.8245	35876.2150	27
10.094	8.9117	0.0788	4.3975e-01	0.808	42.622	344.674822	10.000	31.6990	8.9107	1024.5939	24.5480	24.5478	5.6419	85.398	6.60660	6.61092	31.8567	8.2053e-03	8.9564	1024.6026	24.5566	29.0599	33.4633	37.7689	41.9788	9.7599e-04	3.3723e-06	31.8485	35653.7713	27
10.598	8.7415	0.0732	3.8713e-01	0.777	43.726	344.674835	10.500	31.8643	8.7404	1024.7515	24.7032	24.7030	5.6490	85.272	6.62464	6.62938	32.0224	7.7944e-03	8.7828	1024.7598	24.7115	29.2173	33.6233	37.9314	42.1437	9.7584e-04	3.2249e-06	32.0146	34960.8731	26
11.103	8.8581	0.0531	3.8115e-01	0.759	44.753	344.674847	11.000	32.1291	8.8570	1024.9433	24.8928	24.8926	5.5450	84.063	6.59611	6.60072	32.2878	7.1362e-03	8.8954	1024.9511	24.9006	29.4019	33.8033	38.1071	42.3152	9.7566e-04	3.0449e-06	32.2806	35410.3540	24
11.608	8.9892	0.0480	3.3669e-01	0.776	45.791	344.674859	11.500	32.2660	8.9880	1025.0326	24.9798	24.9796	5.4134	82.382	6.57107	6.57547	32.4250	6.7959e-03	9.0246	1025.0402	24.9874	29.4847	33.8823	38.1823	42.3868	9.7557e-04	2.9624e-06	32.4182	35926.0024	26
