PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	6.2954	0.6404	7.4399e-01	0.935	37.972	344.695752	2.000	25.6476	6.2953	1020.1505	20.1411	20.1411	6.6460	91.051	7.29928	7.30594	25.7918	2.3247e-02	6.4057	1020.1683	20.1589	24.7713	29.2809	33.6894	37.9987	9.8023e-04	7.5780e-06	25.7686	25471.5924	16
2.523	6.5173	0.4190	7.0168e-01	0.859	39.169	344.695766	2.500	26.6471	6.5171	1020.9147	20.9030	20.9030	6.5443	90.723	7.21351	7.22029	26.7935	2.0763e-02	6.6181	1020.9310	20.9193	25.5183	30.0147	34.4105	38.7075	9.7950e-04	6.8482e-06	26.7727	26319.1583	28
3.028	6.5665	0.2791	6.9678e-01	0.853	40.296	344.695779	3.000	26.9560	6.5663	1021.1546	21.1405	21.1405	6.5043	90.457	7.19045	7.19730	27.1031	1.9995e-02	6.6639	1021.1704	21.1563	25.7516	30.2445	34.6368	38.9305	9.7927e-04	6.6208e-06	27.0831	26502.2226	26
3.533	6.8506	0.2593	7.6739e-01	0.861	41.348	344.695791	3.500	27.5039	6.8503	1021.5545	21.5382	21.5381	6.4161	90.151	7.11705	7.12361	27.6522	1.8633e-02	6.9439	1021.5695	21.5531	26.1371	30.6190	35.0006	39.2839	9.7889e-04	6.2405e-06	27.6336	27619.8492	26
4.037	7.1375	0.2111	7.0866e-01	0.983	42.462	344.695804	4.000	28.2903	7.1372	1022.1400	22.1213	22.1213	6.3245	89.924	7.03315	7.03954	28.4403	1.6679e-02	7.2230	1022.1538	22.1351	26.7059	31.1750	35.5442	39.8155	9.7833e-04	5.6832e-06	28.4236	28734.0173	28
4.542	7.2983	0.1817	7.3870e-01	2.348	43.700	344.695818	4.500	28.6039	7.2979	1022.3685	22.3475	22.3475	6.2286	89.074	6.99257	6.99878	28.7547	1.5899e-02	7.3808	1022.3819	22.3609	26.9254	31.3882	35.7514	40.0170	9.7811e-04	5.4672e-06	28.7388	29364.2210	31
5.047	7.5252	0.1660	7.6236e-01	1.385	45.005	344.695833	5.000	29.0510	7.5248	1022.6925	22.6692	22.6692	6.1429	88.568	6.93579	6.94175	29.2028	1.4788e-02	7.6032	1022.7052	22.6819	27.2375	31.6917	36.0465	40.3040	9.7780e-04	5.1603e-06	29.1880	30251.9226	30
5.552	7.8296	0.1380	6.4277e-01	1.761	46.156	344.695847	5.500	29.8298	7.8291	1023.2653	23.2398	23.2397	6.0723	88.614	6.85256	6.85826	29.9833	1.2852e-02	7.8985	1023.2768	23.2513	27.7936	32.2350	36.5774	40.8228	9.7725e-04	4.6164e-06	29.9704	31430.6124	26
6.056	7.9241	0.1213	6.9578e-01	1.112	47.236	344.695859	6.000	30.0312	7.9235	1023.4126	23.3848	23.3848	6.0452	88.524	6.82882	6.83443	30.1851	1.2351e-02	7.9905	1023.4238	23.3960	27.9346	32.3723	36.7112	40.9532	9.7711e-04	4.4782e-06	30.1728	31797.8532	27
6.561	7.9892	0.1167	8.7139e-01	1.166	48.411	344.695873	6.500	30.1825	7.9886	1023.5246	23.4945	23.4944	5.9780	87.757	6.81199	6.81753	30.3368	1.1975e-02	8.0536	1023.5355	23.5054	28.0413	32.4764	36.8128	41.0523	9.7701e-04	4.3739e-06	30.3248	32050.1246	30
7.066	8.0844	0.1083	9.0133e-01	1.207	49.750	344.695888	7.000	30.3622	8.0837	1023.6545	23.6221	23.6220	5.9296	87.337	6.78933	6.79476	30.5169	1.1528e-02	8.1466	1023.6651	23.6327	28.1650	32.5967	36.9296	41.1659	9.7688e-04	4.2524e-06	30.5053	32421.3552	33
7.570	8.2655	0.1045	5.7305e-01	0.915	51.050	344.695903	7.500	30.5570	8.2648	1023.7838	23.7492	23.7491	5.8836	87.126	6.75295	6.75810	30.7121	1.1044e-02	8.3257	1023.7942	23.7596	28.2862	32.7123	37.0399	41.2710	9.7676e-04	4.1315e-06	30.7011	33136.3345	28
8.075	8.3444	0.1019	5.0672e-01	1.068	52.139	344.695916	8.000	30.8279	8.3436	1023.9871	23.9502	23.9500	5.7954	86.125	6.72906	6.73417	30.9837	1.0371e-02	8.4008	1023.9970	23.9601	28.4828	32.9052	37.2291	41.4567	9.7657e-04	3.9403e-06	30.9733	33435.8080	26
8.580	8.4902	0.0889	5.4527e-01	1.313	53.222	344.695928	8.500	31.1830	8.4894	1024.2462	24.2070	24.2069	5.6598	84.580	6.69158	6.69654	31.3395	9.4880e-03	8.5416	1024.2556	24.2165	28.7332	33.1496	37.4679	41.6900	9.7632e-04	3.6961e-06	31.3300	33998.1347	27
9.084	8.7204	0.0753	5.2415e-01	1.104	54.442	344.695943	9.000	31.5832	8.7195	1024.5276	24.4862	24.4860	5.4806	82.537	6.63991	6.64457	31.7406	8.4932e-03	8.7663	1024.5364	24.4950	29.0034	33.4119	37.7224	41.9370	9.7605e-04	3.4308e-06	31.7321	34895.0372	31
9.589	9.1112	0.0674	4.9049e-01	1.554	55.743	344.695958	9.500	31.9498	9.1102	1024.7570	24.7134	24.7132	5.3100	80.862	6.56676	6.57079	32.1081	7.5819e-03	9.1525	1024.7653	24.7217	29.2185	33.6157	37.9154	42.1196	9.7583e-04	3.2151e-06	32.1005	36436.4897	30
10.094	9.3496	0.0646	3.6638e-01	1.730	56.922	344.695971	10.000	32.2642	9.3485	1024.9677	24.9218	24.9217	5.3177	81.573	6.51891	6.52259	32.4231	6.8005e-03	9.3863	1024.9755	24.9297	29.4189	33.8087	38.1011	42.2984	9.7563e-04	3.0172e-06	32.4163	37369.9363	26
10.598	9.6013	0.0582	2.9688e-01	1.303	57.967	344.695983	10.500	32.5341	9.6001	1025.1405	25.0925	25.0923	5.3654	82.907	6.47162	6.47491	32.6936	6.1296e-03	9.6339	1025.1479	25.0999	29.5816	33.9640	38.2494	42.4398	9.7547e-04	2.8554e-06	32.6875	38358.4994	25
11.103	9.5039	0.0532	3.0291e-01	1.322	59.027	344.695996	11.000	32.5849	9.5027	1025.1981	25.1478	25.1476	5.3994	83.281	6.48340	6.48691	32.7446	6.0032e-03	9.5354	1025.2054	25.1551	29.6385	34.0227	38.3098	42.5018	9.7542e-04	2.8029e-06	32.7386	37965.0916	27
11.608	9.2566	0.0467	3.3539e-01	1.929	60.243	344.696010	11.500	32.6031	9.2554	1025.2542	25.2016	25.2014	5.3641	82.296	6.51805	6.52205	32.7628	5.9581e-03	9.2870	1025.2614	25.2087	29.6975	34.0869	38.3789	42.5758	9.7536e-04	2.7520e-06	32.7568	36973.8297	32
12.113	9.2714	0.0369	3.2262e-01	1.516	61.576	344.696025	12.000	32.6949	9.2701	1025.3260	25.2710	25.2708	5.2772	81.038	6.51206	6.51606	32.8548	5.7298e-03	9.3002	1025.3330	25.2780	29.7658	34.1542	38.4453	42.6413	9.7529e-04	2.6861e-06	32.8491	37026.4928	30
12.617	9.4995	0.0326	2.7123e-01	1.019	62.745	344.696039	12.500	32.8146	9.4981	1025.3852	25.3280	25.3278	5.2160	80.562	6.47446	6.47806	32.9748	5.4322e-03	9.5267	1025.3921	25.3349	29.8168	34.1994	38.4849	42.6755	9.7524e-04	2.6322e-06	32.9694	37930.6341	26
13.122	9.6940	0.0367	2.5179e-01	1.808	63.804	344.696051	13.000	32.9504	9.6926	1025.4620	25.4026	25.4024	5.1381	79.770	6.44120	6.44446	33.1108	5.0948e-03	9.7193	1025.4686	25.4093	29.8858	34.2634	38.5440	42.7298	9.7516e-04	2.5616e-06	33.1057	38699.3169	25
13.627	9.7935	0.0360	2.4430e-01	2.021	64.922	344.696064	13.500	33.0527	9.7920	1025.5278	25.4662	25.4660	5.0943	79.314	6.42298	6.42609	33.2134	4.8404e-03	9.8170	1025.5344	25.4727	29.9464	34.3211	38.5989	42.7821	9.7510e-04	2.5015e-06	33.2086	39089.5387	30
14.131	9.9372	0.0329	2.3930e-01	1.699	66.296	344.696080	14.000	33.1297	9.9356	1025.5663	25.5025	25.5022	5.0663	79.164	6.39970	6.40256	33.2906	4.6491e-03	9.9596	1025.5728	25.5089	29.9789	34.3500	38.6244	42.8042	9.7507e-04	2.4672e-06	33.2859	39658.5877	35
14.636	10.0084	0.0325	2.1692e-01	0.965	67.645	344.696095	14.500	33.1622	10.0068	1025.5821	25.5160	25.5157	5.0627	79.248	6.38843	6.39117	33.3232	4.5682e-03	10.0303	1025.5885	25.5224	29.9906	34.3599	38.6327	42.8109	9.7505e-04	2.4545e-06	33.3186	39941.0305	29
15.141	10.0292	0.0336	1.9634e-01	0.805	68.713	344.696108	15.000	33.2004	10.0275	1025.6107	25.5423	25.5420	5.0847	79.647	6.38398	6.38670	33.3614	4.4733e-03	10.0504	1025.6170	25.5486	30.0161	34.3848	38.6568	42.8344	9.7502e-04	2.4297e-06	33.3570	40021.0932	23
