PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	6.6256	0.6321	7.3119e-01	0.901	15.665	345.552091	2.000	25.1714	6.6255	1019.7396	19.7302	19.7302	6.7268	92.588	7.26539	7.27113	25.3145	2.4431e-02	6.7458	1019.7582	19.7488	24.3567	28.8617	33.2659	37.5711	9.8062e-04	7.9723e-06	25.2901	26828.9232	11
2.523	6.7075	0.5342	6.1863e-01	1.016	16.531	345.552101	2.500	25.8690	6.7073	1020.2813	20.2695	20.2695	6.6392	91.980	7.21815	7.22412	26.0137	2.2697e-02	6.8201	1020.2988	20.2871	24.8874	29.3851	33.7821	38.0804	9.8011e-04	7.4551e-06	25.9910	27125.5389	22
3.028	6.8286	0.4910	6.7414e-01	0.954	17.444	345.552112	3.000	26.4284	6.8284	1020.7094	20.6954	20.6954	6.3904	89.109	7.17123	7.17726	26.5743	2.1306e-02	6.9354	1020.7261	20.7121	25.3050	29.7955	34.1856	38.4771	9.7970e-04	7.0470e-06	26.5531	27586.0416	22
3.533	7.1913	0.3635	6.0927e-01	0.962	18.351	345.552122	3.500	27.1575	7.1910	1021.2412	21.2248	21.2248	6.1327	86.658	7.07682	7.08250	27.3050	1.9494e-02	7.2925	1021.2568	21.2405	25.8188	30.2950	34.6713	38.9494	9.7918e-04	6.5402e-06	27.2855	29011.3243	21
4.037	7.9208	0.3065	5.1635e-01	0.937	19.219	345.552132	4.000	27.9763	7.9205	1021.7922	21.7736	21.7736	5.9214	85.543	6.92184	6.92650	28.1257	1.7459e-02	8.0175	1021.8068	21.7882	26.3426	30.7956	35.1493	39.4058	9.7866e-04	6.0154e-06	28.1082	31905.4683	21
4.542	8.7907	0.2955	4.3311e-01	0.850	20.048	345.552142	4.500	29.3486	8.7903	1022.7479	22.7271	22.7271	5.6299	83.697	6.72619	6.72978	29.5010	1.4048e-02	8.8734	1022.7606	22.7398	27.2634	31.6865	36.0112	40.2397	9.7775e-04	5.1051e-06	29.4870	35322.3810	20
5.047	8.8731	0.2461	4.2145e-01	0.843	20.879	345.552151	5.000	30.2225	8.8726	1023.4218	23.3987	23.3987	5.4087	81.020	6.67574	6.67954	30.3769	1.1876e-02	8.9423	1023.4330	23.4100	27.9251	32.3400	36.6568	40.8775	9.7710e-04	4.4649e-06	30.3650	35597.5568	20
5.552	9.0930	0.1790	4.0594e-01	0.871	21.731	345.552161	5.500	30.9736	9.0924	1023.9780	23.9528	23.9527	5.1903	78.508	6.61097	6.61464	31.1297	1.0008e-02	9.1510	1023.9881	23.9628	28.4674	32.8720	37.1788	41.3899	9.7657e-04	3.9375e-06	31.1197	36430.4846	20
6.056	9.4758	0.1405	3.8003e-01	0.797	22.609	345.552171	6.000	31.6342	9.4751	1024.4368	24.4093	24.4092	5.0571	77.476	6.52733	6.53052	31.7917	8.3665e-03	9.5241	1024.4459	24.4184	28.9094	33.3010	37.5952	41.7941	9.7614e-04	3.5034e-06	31.7833	37920.2078	22
6.561	9.9491	0.1234	3.0928e-01	0.993	23.493	345.552182	6.500	32.3770	9.9483	1024.9425	24.9128	24.9127	4.9706	77.315	6.42905	6.43162	32.5362	6.5201e-03	9.9859	1024.9504	24.9207	29.3959	33.7721	38.0513	42.2359	9.7566e-04	3.0252e-06	32.5296	39763.7155	21
7.066	10.1558	0.1045	2.5239e-01	0.988	24.341	345.552191	7.000	32.7241	10.1550	1025.1812	25.1493	25.1492	4.9199	77.043	6.38589	6.38820	32.8841	5.6572e-03	10.1869	1025.1886	25.1566	29.6248	33.9942	38.2669	42.4451	9.7543e-04	2.8008e-06	32.8784	40565.8279	20
7.570	10.1096	0.0956	2.1112e-01	1.149	25.160	345.552201	7.500	32.8385	10.1088	1025.2805	25.2463	25.2461	4.8946	76.626	6.38762	6.39005	32.9987	5.3729e-03	10.1385	1025.2876	25.2534	29.7217	34.0912	38.3641	42.5424	9.7534e-04	2.7089e-06	32.9933	40372.6329	19
8.075	10.1220	0.0851	2.2384e-01	0.784	25.966	345.552210	8.000	32.9466	10.1211	1025.3650	25.3286	25.3284	4.8668	76.264	6.38147	6.38392	33.1071	5.1041e-03	10.1489	1025.3719	25.3354	29.8027	34.1712	38.4431	42.6205	9.7525e-04	2.6309e-06	33.1020	40414.1353	20
8.580	10.1775	0.0785	2.0308e-01	1.039	26.797	345.552220	8.500	33.0026	10.1765	1025.4016	25.3629	25.3627	4.8576	76.240	6.37151	6.37387	33.1631	4.9651e-03	10.2034	1025.4084	25.3697	29.8354	34.2023	38.4726	42.6486	9.7522e-04	2.5985e-06	33.1582	40631.7532	20
9.084	10.2172	0.0806	2.1457e-01	0.938	27.668	345.552230	9.000	33.0296	10.2162	1025.4182	25.3772	25.3771	4.8785	76.646	6.36491	6.36721	33.1902	4.8979e-03	10.2426	1025.4250	25.3840	29.8486	34.2145	38.4839	42.6590	9.7521e-04	2.5850e-06	33.1853	40788.4349	21
9.589	10.2400	0.0791	2.1336e-01	0.978	28.560	345.552240	9.500	33.1133	10.2389	1025.4820	25.4387	25.4385	4.8775	76.709	6.35837	6.36065	33.2742	4.6897e-03	10.2638	1025.4886	25.4453	29.9089	34.2737	38.5421	42.7161	9.7514e-04	2.5268e-06	33.2695	40872.9257	21
10.094	10.2326	0.0738	1.9467e-01	1.038	29.422	345.552250	10.000	33.4214	10.2315	1025.7258	25.6803	25.6801	4.8552	76.497	6.34686	6.34927	33.5829	3.9240e-03	10.2507	1025.7318	25.6863	30.1477	34.5106	38.7770	42.9491	9.7491e-04	2.2978e-06	33.5790	40820.5042	21
10.598	10.1968	0.0574	1.9781e-01	1.181	30.273	345.552260	10.500	33.5012	10.1956	1025.7964	25.7486	25.7484	4.8568	76.503	6.34854	6.35104	33.6629	3.7255e-03	10.2133	1025.8023	25.7545	30.2161	34.5791	38.8457	43.0181	9.7485e-04	2.2331e-06	33.6592	40671.2529	20
11.103	10.2140	0.0500	1.9105e-01	1.668	31.109	345.552270	11.000	33.5591	10.2128	1025.8410	25.7909	25.7907	4.8515	76.475	6.34382	6.34631	33.7209	3.5816e-03	10.2294	1025.8467	25.7966	30.2575	34.6197	38.8856	43.0572	9.7480e-04	2.1932e-06	33.7174	40735.5979	20
11.608	10.2084	0.0523	1.9256e-01	3.574	31.965	345.552280	11.500	33.5963	10.2071	1025.8732	25.8208	25.8206	4.8710	76.792	6.34309	6.34560	33.7582	3.4892e-03	10.2230	1025.8788	25.8265	30.2872	34.6493	38.9151	43.0866	9.7477e-04	2.1649e-06	33.7547	40710.0208	22
12.113	10.2057	0.0500	1.9369e-01	3.128	32.893	345.552290	12.000	33.6051	10.2043	1025.8828	25.8282	25.8280	4.9132	77.458	6.34310	6.34562	33.7671	3.4672e-03	10.2201	1025.8884	25.8338	30.2945	34.6567	38.9224	43.0939	9.7477e-04	2.1581e-06	33.7636	40698.5407	22
12.617	10.2039	0.0505	1.8139e-01	1.791	33.820	345.552301	12.500	33.6107	10.2025	1025.8898	25.8329	25.8326	4.9267	77.669	6.34312	6.34564	33.7726	3.4534e-03	10.2181	1025.8954	25.8385	30.2992	34.6613	38.9270	43.0985	9.7476e-04	2.1537e-06	33.7692	40690.7215	22
13.122	10.2032	0.0485	1.8256e-01	1.311	34.704	345.552311	13.000	33.6191	10.2017	1025.8987	25.8395	25.8393	4.9273	77.683	6.34288	6.34541	33.7810	3.4326e-03	10.2172	1025.9043	25.8451	30.3058	34.6679	38.9335	43.1050	9.7475e-04	2.1475e-06	33.7776	40686.7764	21
13.627	10.1973	0.0482	1.7236e-01	1.101	35.531	345.552321	13.500	33.6301	10.1957	1025.9107	25.8492	25.8489	4.9318	77.749	6.34325	6.34579	33.7921	3.4051e-03	10.2110	1025.9162	25.8548	30.3155	34.6776	38.9433	43.1148	9.7474e-04	2.1385e-06	33.7887	40662.0798	19
14.131	10.1682	0.0443	1.7668e-01	1.068	36.326	345.552330	14.000	33.6700	10.1666	1025.9490	25.8853	25.8850	4.9346	77.764	6.34562	6.34824	33.8321	3.3059e-03	10.1811	1025.9545	25.8907	30.3518	34.7143	38.9803	43.1521	9.7470e-04	2.1044e-06	33.8288	40542.7980	19
14.636	10.1524	0.0424	1.8479e-01	0.913	37.156	345.552340	14.500	33.7330	10.1507	1026.0031	25.9371	25.9368	4.9320	77.728	6.34524	6.34790	33.8952	3.1495e-03	10.1641	1026.0084	25.9424	30.4033	34.7657	39.0316	43.2033	9.7465e-04	2.0554e-06	33.8920	40474.8242	21
15.141	10.1185	0.0401	1.7713e-01	2.391	38.053	345.552350	15.000	33.8081	10.1167	1026.0698	26.0015	26.0012	4.9279	77.643	6.34686	6.34962	33.9705	2.9627e-03	10.1286	1026.0750	26.0067	30.4678	34.8303	39.0964	43.2683	9.7459e-04	1.9945e-06	33.9675	40333.2962	22
15.646	10.1099	0.0358	1.7444e-01	5.022	38.953	345.552361	15.500	33.8194	10.1081	1026.0823	26.0117	26.0114	4.9270	77.621	6.34758	6.35036	33.9818	2.9347e-03	10.1198	1026.0874	26.0169	30.4781	34.8407	39.1069	43.2789	9.7458e-04	1.9849e-06	33.9788	40298.1164	21
16.150	10.1033	0.0333	1.7560e-01	2.023	39.837	345.552371	16.000	33.8267	10.1014	1026.0914	26.0186	26.0183	4.9254	77.588	6.34820	6.35099	33.9891	2.9166e-03	10.1129	1026.0965	26.0237	30.4850	34.8477	39.1140	43.2861	9.7457e-04	1.9786e-06	33.9862	40270.7833	21
16.655	10.1019	0.0342	1.7032e-01	1.468	40.689	345.552381	16.500	33.8278	10.1000	1026.0949	26.0198	26.0194	4.9278	77.623	6.34834	6.35114	33.9903	2.9137e-03	10.1115	1026.1000	26.0249	30.4862	34.8490	39.1153	43.2873	9.7456e-04	1.9776e-06	33.9874	40264.9620	20
17.160	10.1027	0.0349	1.7094e-01	0.944	41.520	345.552390	17.000	33.8282	10.1008	1026.0973	26.0199	26.0196	4.9261	77.598	6.34821	6.35100	33.9906	2.9128e-03	10.1122	1026.1024	26.0250	30.4863	34.8490	39.1153	43.2874	9.7456e-04	1.9776e-06	33.9877	40268.0673	20
17.664	10.0998	0.0352	1.7035e-01	1.543	42.387	345.552400	17.500	33.8286	10.0978	1026.1004	26.0207	26.0203	4.9174	77.456	6.34860	6.35140	33.9910	2.9119e-03	10.1093	1026.1055	26.0258	30.4872	34.8499	39.1163	43.2884	9.7456e-04	1.9769e-06	33.9881	40255.9767	21
18.169	10.0959	0.0327	1.7376e-01	2.255	43.282	345.552411	18.000	33.8326	10.0938	1026.1065	26.0245	26.0242	4.9061	77.274	6.34897	6.35178	33.9951	2.9018e-03	10.1052	1026.1116	26.0296	30.4911	34.8539	39.1203	43.2925	9.7455e-04	1.9734e-06	33.9922	40239.9256	22
