PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	5.4181	1.6373	8.2345e-01	1.623	2.255	344.665350	2.000	20.7377	5.4180	1016.3655	16.3560	16.3559	7.0967	92.141	7.70199	7.70724	20.8709	3.5452e-02	5.5668	1016.3911	16.3815	21.0564	25.6266	30.0941	34.4607	9.8387e-04	1.1221e-05	20.8355	22122.0654	14
2.523	5.4703	1.6195	7.8375e-01	1.636	3.160	344.665361	2.500	21.0308	5.4702	1016.5947	16.5827	16.5827	7.0643	92.016	7.67721	7.68257	21.1647	3.4723e-02	5.6171	1016.6197	16.6078	21.2789	25.8455	30.3094	34.6724	9.8365e-04	1.1002e-05	21.1300	22323.0572	19
3.028	5.5292	1.2720	7.6488e-01	1.286	3.881	344.665369	3.000	21.3427	5.5290	1016.8379	16.8236	16.8236	7.0337	91.939	7.65040	7.65585	21.4773	3.3948e-02	5.6740	1016.8625	16.8482	21.5152	26.0778	30.5378	34.8971	9.8342e-04	1.0769e-05	21.4434	22550.0811	18
3.533	5.6299	0.5573	6.7679e-01	0.849	4.668	344.665378	3.500	21.8001	5.6297	1017.1921	17.1754	17.1754	6.9782	91.716	7.60849	7.61406	21.9357	3.2811e-02	5.7720	1017.2159	17.1993	21.8598	26.4162	30.8702	35.2236	9.8307e-04	1.0430e-05	21.9029	22941.3602	20
4.037	5.7312	0.3574	6.6847e-01	0.702	5.525	344.665388	4.000	22.3923	5.7310	1017.6520	17.6330	17.6330	6.9327	91.700	7.56011	7.56588	22.5292	3.1339e-02	5.8690	1017.6749	17.6559	22.3090	26.8581	31.3050	35.6517	9.8263e-04	9.9890e-06	22.4979	23328.6439	20
4.542	5.8892	0.3100	6.2964e-01	0.681	6.309	344.665397	4.500	23.0828	5.8889	1018.1830	18.1617	18.1617	6.8919	91.923	7.49747	7.50336	23.2213	2.9623e-02	6.0220	1018.2048	18.1835	22.8270	27.3667	31.8045	36.1422	9.8212e-04	9.4802e-06	23.1917	23939.4506	18
5.047	5.9734	0.2629	5.9146e-01	0.671	7.063	344.665406	5.000	23.4002	5.9731	1018.4278	18.4041	18.4041	6.8986	92.399	7.46607	7.47202	23.5394	2.8834e-02	6.1044	1018.4491	18.4254	23.0641	27.5992	32.0324	36.3658	9.8189e-04	9.2465e-06	23.5105	24268.3442	18
5.552	6.0962	0.2440	5.8732e-01	0.665	7.851	344.665415	5.500	24.0492	6.0958	1018.9292	18.9032	18.9032	6.8740	92.740	7.41215	7.41826	24.1899	2.7221e-02	6.2218	1018.9495	18.9235	23.5538	28.0807	32.5060	36.8317	9.8140e-04	8.7666e-06	24.1626	24737.1756	20
6.056	6.2948	0.2194	5.2875e-01	0.658	8.669	344.665424	6.000	24.9473	6.2944	1019.6179	19.5896	19.5896	6.7145	91.559	7.33346	7.33971	25.0899	2.4988e-02	6.4130	1019.6368	19.6085	24.2266	28.7416	33.1553	37.4698	9.8074e-04	8.1073e-06	25.0649	25500.2870	19
6.561	6.4868	0.2048	4.7384e-01	0.655	9.455	344.665434	6.500	25.5828	6.4863	1020.0995	20.0689	20.0689	6.5328	89.864	7.26962	7.27585	25.7268	2.3408e-02	6.5998	1020.1175	20.0869	24.6950	29.2004	33.6048	37.9102	9.8028e-04	7.6475e-06	25.7034	26246.3253	19
7.066	6.7436	0.2005	4.3656e-01	0.659	10.208	344.665442	7.000	26.3304	6.7431	1020.6606	20.6278	20.6277	6.3804	88.732	7.19048	7.19662	26.4761	2.1550e-02	6.8503	1020.6774	20.6446	25.2404	29.7338	34.1266	38.4208	9.7974e-04	7.1121e-06	26.4546	27246.2135	18
7.570	6.7867	0.1897	4.8029e-01	0.679	11.076	344.665452	7.500	26.3384	6.7861	1020.6643	20.6291	20.6290	6.3226	88.024	7.18283	7.18889	26.4842	2.1530e-02	6.8937	1020.6811	20.6459	25.2406	29.7329	34.1246	38.4177	9.7974e-04	7.1108e-06	26.4626	27419.6560	24
8.075	7.6573	0.1797	4.3344e-01	0.666	12.105	344.665464	8.000	28.3694	7.6566	1022.1544	22.1172	22.1171	6.0967	87.777	6.94567	6.95103	28.5197	1.6482e-02	7.7457	1022.1682	22.1310	26.6886	31.1448	35.5016	39.7610	9.7831e-04	5.6876e-06	28.5032	30820.6152	24
8.580	7.7645	0.1698	4.3000e-01	0.677	13.084	344.665476	8.500	28.6683	7.7638	1022.3771	22.3376	22.3375	6.0817	87.950	6.91500	6.92029	28.8193	1.5739e-02	7.8495	1022.3905	22.3510	26.9038	31.3553	35.7075	39.9624	9.7810e-04	5.4771e-06	28.8035	31235.1106	23
9.084	7.8183	0.1414	4.2265e-01	0.791	14.105	344.665487	9.000	28.8164	7.8175	1022.4884	22.4466	22.4465	6.0979	88.378	6.89981	6.90506	28.9677	1.5371e-02	7.9015	1022.5016	22.4598	27.0101	31.4593	35.8092	40.0619	9.7799e-04	5.3732e-06	28.9523	31442.6198	26
9.589	7.8322	0.1122	4.5978e-01	0.708	15.142	344.665499	9.500	28.8740	7.8313	1022.5340	22.4898	22.4897	6.0457	87.682	6.89503	6.90028	29.0253	1.5228e-02	7.9146	1022.5471	22.5029	27.0525	31.5009	35.8501	40.1022	9.7795e-04	5.3320e-06	29.0101	31495.0402	24
10.094	7.8815	0.0954	3.6814e-01	0.753	16.128	344.665511	10.000	29.0681	7.8806	1022.6819	22.6355	22.6354	5.9802	86.941	6.87852	6.88377	29.2199	1.4745e-02	7.9615	1022.6947	22.6483	27.1952	31.6410	35.9877	40.2373	9.7781e-04	5.1931e-06	29.2052	31682.1125	23
10.598	7.9707	0.0772	3.0418e-01	0.775	17.148	344.665523	10.500	29.3919	7.9697	1022.9259	22.8772	22.8771	5.9448	86.785	6.85009	6.85530	29.5444	1.3940e-02	8.0464	1022.9382	22.8895	27.4318	31.8732	36.2156	40.4610	9.7758e-04	4.9626e-06	29.5305	32021.2955	26
11.103	8.2069	0.0713	2.8507e-01	0.855	18.217	344.665535	11.000	30.0054	8.2059	1023.3757	23.3248	23.3246	5.8374	86.012	6.78654	6.79156	30.1593	1.2415e-02	8.2748	1023.3870	23.3361	27.8683	32.2998	36.6326	40.8688	9.7715e-04	4.5362e-06	30.1469	32932.9355	25
11.608	8.4701	0.0694	2.5174e-01	0.764	19.217	344.665546	11.500	30.5109	8.4690	1023.7366	23.6836	23.6834	5.7180	85.041	6.72389	6.72860	30.6659	1.1159e-02	8.5318	1023.7472	23.6942	28.2164	32.6382	36.9617	41.1888	9.7680e-04	4.1946e-06	30.6547	33958.7652	24
12.113	8.4589	0.0635	2.3468e-01	0.742	20.235	344.665558	12.000	30.5896	8.4577	1023.8024	23.7470	23.7468	5.6102	83.459	6.72213	6.72690	30.7449	1.0963e-02	8.5192	1023.8128	23.7574	28.2793	32.7008	37.0239	41.2508	9.7674e-04	4.1343e-06	30.7339	33908.4147	25
12.617	8.6622	0.0596	2.0738e-01	0.747	21.278	344.665570	12.500	30.8415	8.6610	1023.9719	23.9142	23.9141	5.4821	82.059	6.68064	6.68511	30.9973	1.0337e-02	8.7195	1023.9819	23.9243	28.4397	32.8548	37.1718	41.3927	9.7658e-04	3.9752e-06	30.9869	34708.0599	24
13.122	8.9399	0.0531	2.0266e-01	0.725	22.297	344.665582	13.000	31.3604	8.9386	1024.3384	24.2786	24.2784	5.4093	81.748	6.61705	6.62118	31.5173	9.0470e-03	8.9899	1024.3477	24.2879	28.7930	33.1983	37.5057	41.7174	9.7623e-04	3.6288e-06	31.5083	35787.7505	25
13.627	9.1277	0.0521	1.9543e-01	0.729	23.344	344.665594	13.500	31.6616	9.1263	1024.5474	24.4854	24.4852	5.3669	81.605	6.57664	6.58052	31.8192	8.2983e-03	9.1734	1024.5562	24.4942	28.9929	33.3918	37.6931	41.8990	9.7603e-04	3.4324e-06	31.8109	36520.2888	26
14.131	9.3533	0.0492	1.9229e-01	0.739	24.401	344.665607	14.000	31.9231	9.3518	1024.7189	24.6547	24.6545	5.3038	81.187	6.53273	6.53628	32.0813	7.6483e-03	9.3954	1024.7274	24.6632	29.1549	33.5470	37.8418	42.0412	9.7587e-04	3.2716e-06	32.0736	37406.1892	24
14.636	9.5169	0.0461	1.9220e-01	0.747	25.424	344.665618	14.500	32.1374	9.5153	1024.8625	24.7961	24.7958	5.2419	80.641	6.50030	6.50360	32.2960	7.1157e-03	9.5557	1024.8706	24.8042	29.2907	33.6778	37.9676	42.1624	9.7573e-04	3.1375e-06	32.2889	38046.3822	27
15.141	9.5708	0.0450	1.9931e-01	0.754	27.043	344.665637	15.000	32.2272	9.5692	1024.9263	24.8576	24.8574	5.1151	78.829	6.48880	6.49203	32.3860	6.8924e-03	9.6083	1024.9343	24.8656	29.3502	33.7356	38.0237	42.2168	9.7567e-04	3.0792e-06	32.3792	38256.1147	52
15.645	10.2463	0.0473	1.9218e-01	0.837	62.010	344.666042	15.500	33.2294	10.2444	1025.5995	25.5289	25.5286	4.9005	77.155	6.35241	6.35473	33.3905	4.4012e-03	10.2674	1025.6059	25.5353	29.9978	34.3617	38.6291	42.8022	9.7503e-04	2.4425e-06	33.3861	40887.4430	4
