PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	4.8884	0.5627	7.1929e-01	0.675	41.477	344.545723	2.000	17.2185	4.8883	1013.6289	13.6193	13.6193	7.4165	92.863	7.98712	7.99080	17.3439	4.4200e-02	5.0570	1013.6604	13.6508	18.3690	22.9814	27.4899	31.8963	9.8652e-04	1.3870e-05	17.2997	20087.1192	14
2.523	5.4563	0.5383	6.9526e-01	0.658	42.488	344.545735	2.500	19.9518	5.4561	1015.7434	15.7315	15.7314	7.1010	91.783	7.73644	7.74107	20.0833	3.7406e-02	5.6124	1015.7703	15.7583	20.4387	25.0143	29.4870	33.8586	9.8448e-04	1.1826e-05	20.0459	22304.2363	24
3.028	6.1394	0.4497	6.6705e-01	0.671	43.486	344.545746	3.000	23.7201	6.1392	1018.6536	18.6394	18.6394	6.7839	91.416	7.42087	7.42669	23.8599	2.8039e-02	6.2694	1018.6744	18.6602	23.2920	27.8204	32.2472	36.5743	9.8167e-04	9.0205e-06	23.8319	24927.2180	25
3.533	6.2539	0.3884	6.5296e-01	0.678	44.548	344.545759	3.500	24.6099	6.2537	1019.3449	19.3284	19.3284	6.7265	91.430	7.35697	7.36310	24.7518	2.5827e-02	6.3756	1019.3643	19.3478	23.9696	28.4882	32.9055	37.2234	9.8100e-04	8.3581e-06	24.7260	25351.0670	26
4.037	6.3459	0.3035	6.1476e-01	0.707	45.629	344.545771	4.000	25.2341	6.3456	1019.8288	19.8099	19.8099	6.6727	91.274	7.31068	7.31700	25.3773	2.4275e-02	6.4614	1019.8472	19.8284	24.4429	28.9544	33.3648	37.6760	9.8054e-04	7.8959e-06	25.3531	25693.8389	25
4.542	6.4181	0.2844	6.2177e-01	0.658	46.643	344.545783	4.500	25.7456	6.4177	1020.2258	20.2046	20.2046	6.6528	91.465	7.27366	7.28012	25.8900	2.3004e-02	6.5284	1020.2434	20.2223	24.8309	29.3367	33.7415	38.0473	9.8016e-04	7.5174e-06	25.8670	25961.1408	23
5.047	6.5373	0.2657	6.2220e-01	0.674	47.610	344.545794	5.000	26.3631	6.5369	1020.7009	20.6774	20.6774	6.6337	91.834	7.22359	7.23017	26.5089	2.1469e-02	6.6415	1020.7176	20.6941	25.2948	29.7930	34.1904	38.4890	9.7970e-04	7.0643e-06	26.4875	26412.8260	24
5.551	6.6046	0.2522	6.0723e-01	0.738	48.589	344.545805	5.500	26.6528	6.6042	1020.9235	20.8977	20.8976	6.5781	91.383	7.19839	7.20500	26.7993	2.0749e-02	6.7060	1020.9398	20.9139	25.5107	30.0050	34.3986	38.6936	9.7949e-04	6.8534e-06	26.7785	26670.1165	23
6.056	6.6817	0.2521	6.0418e-01	0.685	49.623	344.545817	6.000	26.9711	6.6812	1021.1673	21.1392	21.1391	6.5065	90.742	7.17029	7.17691	27.1182	1.9958e-02	6.7799	1021.1831	21.1549	25.7473	30.2372	34.6267	38.9177	9.7926e-04	6.6223e-06	27.0982	26965.2466	27
6.561	6.7991	0.2277	5.5546e-01	0.712	50.779	344.545831	6.500	27.1520	6.7986	1021.2981	21.2677	21.2676	6.4641	90.507	7.14210	7.14858	27.2996	1.9508e-02	6.8961	1021.3136	21.2832	25.8712	30.3570	34.7424	39.0294	9.7913e-04	6.4993e-06	27.2801	27429.3038	29
7.066	7.0449	0.2097	5.3210e-01	0.662	51.997	344.545845	7.000	27.6914	7.0443	1021.6950	21.6623	21.6622	6.3934	90.352	7.07606	7.08233	27.8401	1.8167e-02	7.1373	1021.7097	21.6770	26.2547	30.7305	35.1062	39.3838	9.7875e-04	6.1221e-06	27.8220	28391.8082	28
7.570	7.1407	0.2045	4.9086e-01	0.693	53.109	344.545858	7.500	27.8728	7.1401	1021.8281	21.7931	21.7930	6.3329	89.804	7.05189	7.05805	28.0220	1.7716e-02	7.2315	1021.8426	21.8076	26.3815	30.8536	35.2258	39.5000	9.7862e-04	5.9971e-06	28.0043	28768.1194	25
8.075	7.2880	0.1950	4.5028e-01	0.658	54.116	344.545869	8.000	28.1007	7.2873	1021.9910	21.9537	21.9536	6.2391	88.909	7.01733	7.02331	28.2504	1.7150e-02	7.3771	1022.0051	21.9678	26.5365	31.0033	35.3705	39.6398	9.7847e-04	5.8437e-06	28.2332	29349.1368	24
8.580	7.4230	0.1821	4.3750e-01	0.641	55.177	344.545882	8.500	28.2966	7.4223	1022.1300	22.0904	22.0903	6.1520	88.056	6.98650	6.99230	28.4467	1.6663e-02	7.5104	1022.1439	22.1043	26.6681	31.1304	35.4930	39.7580	9.7834e-04	5.7131e-06	28.4300	29881.4969	28
9.084	7.7360	0.1620	4.0099e-01	0.659	56.370	344.545895	9.000	28.7720	7.7352	1022.4645	22.4227	22.4226	6.0408	87.359	6.91486	6.92025	28.9231	1.5481e-02	7.8192	1022.4777	22.4359	26.9885	31.4399	35.7920	40.0468	9.7802e-04	5.3960e-06	28.9077	31114.2333	29
9.589	7.9506	0.1485	3.7034e-01	0.652	57.558	344.545909	9.500	29.1670	7.9498	1022.7476	22.7036	22.7034	5.8802	85.675	6.86329	6.86844	29.3190	1.4499e-02	8.0297	1022.7603	22.7162	27.2608	31.7042	36.0487	40.2962	9.7775e-04	5.1281e-06	29.3045	31954.3704	28
10.094	8.1998	0.1381	3.7579e-01	0.677	58.707	344.545923	10.000	29.6683	8.1989	1023.1084	23.0621	23.0620	5.7325	84.273	6.80223	6.80711	29.8214	1.3253e-02	8.2730	1023.1203	23.0740	27.6089	32.0430	36.3783	40.6170	9.7740e-04	4.7863e-06	29.8082	32925.8792	27
10.598	8.5154	0.1291	3.7099e-01	0.672	59.815	344.545935	10.500	30.2012	8.5143	1023.4829	23.4344	23.4343	5.7280	85.105	6.73061	6.73510	30.3555	1.1929e-02	8.5822	1023.4941	23.4456	27.9691	32.3922	36.7168	40.9452	9.7705e-04	4.4316e-06	30.3436	34160.0572	26
11.103	8.7339	0.1212	3.4610e-01	0.701	60.924	344.545948	11.000	30.6025	8.7328	1023.7674	23.7167	23.7165	5.7413	85.945	6.68017	6.68440	30.7577	1.0931e-02	8.7955	1023.7779	23.7272	28.2427	32.6580	36.9751	41.1961	9.7677e-04	4.1630e-06	30.7468	35011.6523	28
11.608	8.5526	0.0855	4.0918e-01	0.710	62.232	344.545963	11.500	30.8013	8.5514	1023.9521	23.8990	23.8989	5.7373	85.646	6.69876	6.70343	30.9569	1.0437e-02	8.6100	1023.9622	23.9091	28.4273	32.8451	37.1647	41.3882	9.7660e-04	3.9896e-06	30.9465	34271.2402	34
12.113	8.6691	0.0749	3.8846e-01	0.727	63.554	344.545979	12.000	31.2106	8.6679	1024.2576	24.2023	24.2021	5.6850	85.315	6.66356	6.66817	31.3672	9.4193e-03	8.7205	1024.2670	24.2118	28.7241	33.1364	37.4507	41.6689	9.7631e-04	3.7011e-06	31.3578	34712.2058	28
12.617	8.8781	0.0701	3.5738e-01	0.710	64.629	344.545991	12.500	31.4273	8.8769	1024.3980	24.3405	24.3403	5.5604	83.954	6.62317	6.62745	31.5843	8.8808e-03	8.9269	1024.4071	24.3497	28.8556	33.2618	37.5700	41.7825	9.7617e-04	3.5699e-06	31.5755	35536.1854	25
13.122	8.8890	0.0704	3.1704e-01	0.734	65.696	344.546003	13.000	31.4545	8.8877	1024.4199	24.3601	24.3599	5.4413	82.188	6.62041	6.62468	31.6116	8.8132e-03	8.9373	1024.4290	24.3692	28.8748	33.2805	37.5883	41.8003	9.7615e-04	3.5513e-06	31.6028	35577.7022	27
13.627	9.1223	0.0646	2.5935e-01	0.762	66.932	344.546018	13.500	31.7659	9.1208	1024.6296	24.5677	24.5675	5.3133	80.833	6.57306	6.57699	31.9237	8.0391e-03	9.1662	1024.6383	24.5763	29.0743	33.4726	37.7734	41.9786	9.7595e-04	3.3542e-06	31.9156	36491.3826	32
14.131	9.5395	0.0634	2.5114e-01	0.730	68.225	344.546033	14.000	32.2171	9.5380	1024.9188	24.8548	24.8545	5.1981	80.048	6.49369	6.49699	32.3760	6.9174e-03	9.5772	1024.9269	24.8628	29.3481	33.7342	38.0230	42.2168	9.7568e-04	3.0817e-06	32.3690	38131.9606	30
14.636	9.7155	0.0558	2.1499e-01	0.745	69.437	344.546047	14.500	32.4407	9.7139	1025.0674	25.0011	25.0008	5.1355	79.505	6.45931	6.46235	32.6001	6.3616e-03	9.7496	1025.0750	25.0087	29.4886	33.8693	38.1529	42.3417	9.7554e-04	2.9429e-06	32.5937	38820.4174	28
15.141	9.8393	0.0511	2.0837e-01	0.746	70.603	344.546060	15.000	32.6116	9.8376	1025.1828	25.1142	25.1140	5.0902	79.105	6.43474	6.43760	32.7713	5.9369e-03	9.8707	1025.1901	25.1216	29.5975	33.9744	38.2543	42.4395	9.7543e-04	2.8356e-06	32.7654	39303.8152	27
15.646	9.9164	0.0455	2.0541e-01	0.737	71.723	344.546073	15.500	32.7387	9.9146	1025.2715	25.2008	25.2005	5.0734	79.041	6.41868	6.42144	32.8987	5.6209e-03	9.9456	1025.2787	25.2080	29.6812	34.0556	38.3330	42.5159	9.7535e-04	2.7537e-06	32.8931	39602.8408	28
16.150	9.9846	0.0463	2.0790e-01	0.738	72.954	344.546087	16.000	32.8486	9.9828	1025.3482	25.2752	25.2749	5.0502	78.853	6.40461	6.40728	33.0088	5.3479e-03	10.0120	1025.3552	25.2822	29.7532	34.1253	38.4006	42.5814	9.7527e-04	2.6832e-06	33.0034	39867.9533	32
16.655	10.0147	0.0429	1.9699e-01	0.730	74.256	344.546103	16.500	32.9020	10.0128	1025.3871	25.3119	25.3116	4.9998	78.144	6.39823	6.40086	33.0623	5.2151e-03	10.0411	1025.3941	25.3188	29.7888	34.1598	38.4342	42.6140	9.7524e-04	2.6485e-06	33.0571	39984.0827	29
17.160	10.0531	0.0369	1.9583e-01	0.739	75.401	344.546116	17.000	32.9737	10.0511	1025.4390	25.3614	25.3611	4.9710	77.795	6.38995	6.39254	33.1342	5.0368e-03	10.0782	1025.4457	25.3682	29.8368	34.2066	38.4797	42.6583	9.7519e-04	2.6016e-06	33.1292	40132.0753	27
17.664	10.1241	0.0265	1.9148e-01	0.735	76.551	344.546129	17.500	33.1373	10.1221	1025.5569	25.4771	25.4768	4.9532	77.716	6.37340	6.37591	33.2982	4.6302e-03	10.1463	1025.5634	25.4836	29.9495	34.3167	38.5872	42.7634	9.7507e-04	2.4920e-06	33.2935	40404.0335	28
