PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	5.3970	1.1676	7.9572e-01	1.117	81.388	344.616902	2.000	20.5857	5.3969	1016.2474	16.2378	16.2378	7.1476	92.660	7.71377	7.71895	20.7186	3.5830e-02	5.5467	1016.2732	16.2636	20.9403	25.5123	29.9815	34.3497	9.8399e-04	1.1335e-05	20.6828	22041.9397	11
2.523	5.4127	0.8184	7.5113e-01	0.926	82.173	344.616912	2.500	20.7811	5.4126	1016.4026	16.3906	16.3906	7.1386	92.700	7.70081	7.70610	20.9145	3.5344e-02	5.5608	1016.4281	16.4161	21.0908	25.6609	30.1281	34.4945	9.8384e-04	1.1187e-05	20.8791	22098.1568	20
3.028	5.6572	0.5933	7.0444e-01	0.758	83.025	344.616922	3.000	21.9761	5.6570	1017.3257	17.3114	17.3114	7.0369	92.652	7.59486	7.60049	22.1121	3.2373e-02	5.7979	1017.3492	17.3350	21.9934	26.5477	30.9997	35.3512	9.8295e-04	1.0299e-05	22.0798	23044.8610	21
3.533	6.1980	0.4860	6.2960e-01	0.699	83.863	344.616931	3.500	24.3093	6.1977	1019.1140	19.0975	19.0975	6.8136	92.307	7.38150	7.38757	24.4505	2.6574e-02	6.3223	1019.1339	19.1174	23.7430	28.2653	32.6862	37.0076	9.8123e-04	8.5800e-06	24.4239	25138.2112	19
4.038	6.2571	0.3929	6.2282e-01	0.695	84.652	344.616940	4.000	24.8074	6.2568	1019.5023	19.4834	19.4834	6.7549	91.943	7.34689	7.35313	24.9497	2.5336e-02	6.3765	1019.5214	19.5026	24.1227	28.6397	33.0554	37.3718	9.8085e-04	8.2093e-06	24.9244	25354.5716	19
4.542	6.3305	0.3320	5.9811e-01	0.701	85.422	344.616949	4.500	25.3776	6.3302	1019.9458	19.9246	19.9245	6.7211	91.989	7.30640	7.31284	25.5212	2.3919e-02	6.4442	1019.9640	19.9428	24.5565	29.0673	33.4770	37.7875	9.8043e-04	7.7859e-06	25.4973	25625.0048	18
5.047	6.4873	0.3025	6.0774e-01	0.712	86.184	344.616958	5.000	26.1097	6.4869	1020.5071	20.4835	20.4835	6.6713	92.090	7.24425	7.25079	26.2549	2.2099e-02	6.5941	1020.5242	20.5007	25.1046	29.6059	34.0064	38.3080	9.7989e-04	7.2500e-06	26.2328	26223.4218	18
5.552	6.7201	0.2632	5.8782e-01	0.745	86.966	344.616967	5.500	26.7658	6.7196	1020.9988	20.9731	20.9730	6.5159	90.828	7.17367	7.18010	26.9125	2.0468e-02	6.8212	1021.0150	20.9892	25.5822	30.0728	34.4629	38.7545	9.7942e-04	6.7813e-06	26.8920	27130.1880	19
6.056	6.9802	0.2605	4.9883e-01	0.706	87.787	344.616977	6.000	27.1416	6.9797	1021.2661	21.2380	21.2379	6.2887	88.415	7.11242	7.11853	27.2892	1.9534e-02	7.0793	1021.2817	21.2536	25.8372	30.3187	34.6999	38.9829	9.7916e-04	6.5277e-06	27.2696	28160.3127	21
6.561	7.2038	0.2444	4.8220e-01	0.651	88.656	344.616987	6.500	27.6050	7.2032	1021.6052	21.5749	21.5748	6.0854	86.269	7.05398	7.05987	27.7536	1.8382e-02	7.2989	1021.6202	21.5898	26.1643	30.6369	35.0096	39.2843	9.7884e-04	6.2056e-06	27.7352	29036.8740	21
7.066	7.4361	0.2185	4.6644e-01	0.640	89.520	344.616997	7.000	28.0713	7.4355	1021.9444	21.9117	21.9117	6.0188	86.049	6.99476	7.00042	28.2208	1.7223e-02	7.5269	1021.9586	21.9260	26.4913	30.9549	35.3188	39.5851	9.7851e-04	5.8837e-06	28.2036	29947.1575	20
7.570	7.8951	0.1925	4.3928e-01	0.634	90.342	344.617006	7.500	28.9091	7.8944	1022.5435	22.5087	22.5086	6.0002	87.166	6.88371	6.88885	29.0605	1.5140e-02	7.9776	1022.5565	22.5217	27.0695	31.5162	35.8638	40.1143	9.7794e-04	5.3138e-06	29.0454	31746.4606	19
8.075	8.3500	0.1765	4.0009e-01	0.655	91.107	344.617015	8.000	29.4535	8.3492	1022.9098	22.8727	22.8726	5.9399	87.498	6.78859	6.79308	29.6062	1.3787e-02	8.4277	1022.9221	22.8851	27.4181	31.8503	36.1839	40.4208	9.7759e-04	4.9666e-06	29.5924	33543.1013	18
8.580	8.5059	0.1839	3.4102e-01	0.653	91.856	344.617024	8.500	29.5871	8.5051	1022.9945	22.9552	22.9551	5.8920	87.174	6.75883	6.76307	29.7401	1.3455e-02	8.5826	1023.0067	22.9674	27.4957	31.9235	36.2527	40.4855	9.7751e-04	4.8880e-06	29.7266	34161.3657	18
9.084	8.5306	0.1773	3.7038e-01	0.657	92.631	344.617033	9.000	29.7058	8.5297	1023.0862	23.0446	23.0445	5.8546	86.737	6.74986	6.75410	29.8591	1.3160e-02	8.6055	1023.0982	23.0566	27.5835	32.0098	36.3376	40.5691	9.7742e-04	4.8029e-06	29.8459	34253.1348	19
9.589	8.2950	0.1339	4.1570e-01	0.666	93.469	344.617042	9.500	30.0652	8.2941	1023.4036	23.3597	23.3595	5.8171	85.925	6.77006	6.77493	30.2193	1.2266e-02	8.3628	1023.4149	23.3710	27.9006	32.3296	36.6601	40.8940	9.7712e-04	4.5027e-06	30.2070	33284.2518	21
10.094	8.2844	0.0993	4.3809e-01	0.698	94.344	344.617053	10.000	30.4223	8.2834	1023.6871	23.6409	23.6407	5.7648	85.327	6.75605	6.76109	30.5771	1.1379e-02	8.3465	1023.6977	23.6515	28.1787	32.6054	36.9335	41.1652	9.7685e-04	4.2350e-06	30.5658	33219.1874	21
10.599	8.5898	0.0855	4.0790e-01	0.698	95.216	344.617063	10.500	31.1170	8.5887	1024.1891	24.1407	24.1406	5.6903	85.191	6.67949	6.68422	31.2734	9.6521e-03	8.6425	1024.1987	24.1503	28.6652	33.0799	37.3965	41.6171	9.7637e-04	3.7595e-06	31.2637	34400.7907	21
11.103	8.6292	0.0785	3.5627e-01	0.706	96.019	344.617072	11.000	31.3091	8.6281	1024.3360	24.2854	24.2852	5.6906	85.377	6.66524	6.66998	31.4659	9.1745e-03	8.6790	1024.3453	24.2946	28.8072	33.2196	37.5340	41.7524	9.7623e-04	3.6220e-06	31.4567	34546.5077	18
11.608	8.8750	0.0725	3.4829e-01	0.721	96.793	344.617081	11.500	31.6743	8.8738	1024.5871	24.5343	24.5341	5.6257	85.070	6.61306	6.61745	31.8320	8.2667e-03	8.9198	1024.5958	24.5429	29.0472	33.4516	37.7581	41.9690	9.7599e-04	3.3856e-06	31.8237	35507.9117	19
12.113	8.8781	0.0682	3.3191e-01	0.733	97.568	344.617090	12.000	31.6370	8.8769	1024.5598	24.5046	24.5044	5.5595	84.054	6.61420	6.61856	31.7945	8.3595e-03	8.9235	1024.5685	24.5134	29.0178	33.4224	37.7292	41.9402	9.7602e-04	3.4138e-06	31.7862	35522.4514	19
12.617	8.8596	0.0663	3.3034e-01	0.778	98.357	344.617099	12.500	31.5796	8.8583	1024.5200	24.4625	24.4623	5.4994	83.080	6.61939	6.62377	31.7370	8.5021e-03	8.9058	1024.5288	24.4714	28.9767	33.3821	37.6896	41.9015	9.7606e-04	3.4539e-06	31.7285	35451.7489	19
13.122	8.9230	0.0623	3.1696e-01	0.716	99.181	344.617109	13.000	31.7216	8.9217	1024.6237	24.5639	24.5637	5.4437	82.431	6.60398	6.60829	31.8793	8.1493e-03	8.9670	1024.6323	24.5725	29.0754	33.4783	37.7836	41.9931	9.7596e-04	3.3576e-06	31.8711	35696.3261	20
13.627	9.0467	0.0495	2.9736e-01	0.750	100.068	344.617119	13.500	31.9247	9.0453	1024.7658	24.7038	24.7036	5.3812	81.815	6.57722	6.58136	32.0829	7.6442e-03	9.0877	1024.7741	24.7121	29.2107	33.6095	37.9107	42.1163	9.7582e-04	3.2248e-06	32.0753	36178.2140	22
14.131	9.3296	0.0361	2.3725e-01	0.769	100.932	344.617129	14.000	32.3115	9.3281	1025.0262	24.9621	24.9618	5.2927	81.179	6.51980	6.52354	32.4705	6.6829e-03	9.3649	1025.0339	24.9698	29.4591	33.8490	38.1416	42.3389	9.7558e-04	2.9798e-06	32.4638	37284.8004	20
14.636	9.4399	0.0398	2.2218e-01	0.852	101.759	344.617138	14.500	32.4184	9.4384	1025.0944	25.0280	25.0278	5.2485	80.753	6.49948	6.50304	32.5777	6.4172e-03	9.4737	1025.1020	25.0356	29.5217	33.9085	38.1980	42.3924	9.7551e-04	2.9172e-06	32.5712	37718.9400	19
15.141	9.4925	0.0339	1.9886e-01	0.793	102.554	344.617148	15.000	32.3994	9.4909	1025.0734	25.0048	25.0045	5.2275	80.512	6.49277	6.49623	32.5586	6.4645e-03	9.5267	1025.0811	25.0124	29.4975	33.8832	38.1718	42.3653	9.7553e-04	2.9394e-06	32.5521	37930.3848	19
15.646	9.6398	0.0329	1.9603e-01	0.775	103.326	344.617157	15.500	32.6490	9.6381	1025.2469	25.1761	25.1758	5.1869	80.275	6.46138	6.46464	32.8088	5.8438e-03	9.6700	1025.2542	25.1833	29.6633	34.0441	38.3279	42.5168	9.7537e-04	2.7770e-06	32.8030	38502.4167	19
16.150	9.7554	0.0277	1.8640e-01	0.966	104.122	344.617166	16.000	32.8151	9.7536	1025.3600	25.2869	25.2866	5.1534	80.045	6.43817	6.44127	32.9753	5.4310e-03	9.7828	1025.3670	25.2939	29.7701	34.1473	38.4276	42.6131	9.7526e-04	2.6720e-06	32.9699	38952.9277	19
16.655	9.8278	0.0201	1.8079e-01	0.746	104.964	344.617175	16.500	33.0375	9.8260	1025.5240	25.4487	25.4484	5.1276	79.884	6.41879	6.42183	33.1982	4.8783e-03	9.8514	1025.5306	25.4552	29.9283	34.3024	38.5796	42.7622	9.7511e-04	2.5187e-06	33.1933	39226.6207	21
17.160	9.8723	0.0097	1.7795e-01	0.768	105.823	344.617185	17.000	33.2416	9.8704	1025.6782	25.6007	25.6004	5.0939	79.541	6.40416	6.40719	33.4027	4.3709e-03	9.8923	1025.6844	25.6069	30.0774	34.4491	38.7241	42.9045	9.7496e-04	2.3747e-06	33.3983	39389.7853	21
17.664	9.8818	0.0076	1.7505e-01	0.762	106.697	344.617196	17.500	33.3799	9.8798	1025.7869	25.7071	25.7068	5.0600	79.097	6.39715	6.40021	33.5414	4.0270e-03	9.8992	1025.7928	25.7130	30.1824	34.5529	38.8267	43.0060	9.7486e-04	2.2739e-06	33.5373	39417.5922	21
18.169	9.9117	0.0077	1.7544e-01	0.769	107.537	344.617205	18.000	33.4362	9.9097	1025.8281	25.7461	25.7457	5.0493	79.010	6.39067	6.39369	33.5977	3.8872e-03	9.9281	1025.8339	25.7519	30.2202	34.5897	38.8625	43.0408	9.7482e-04	2.2371e-06	33.5938	39532.9239	19
18.674	9.9531	0.0081	1.7637e-01	0.753	108.317	344.617214	18.500	33.5703	9.9510	1025.9282	25.8439	25.8435	5.0432	79.054	6.37942	6.38241	33.7321	3.5539e-03	9.9671	1025.9337	25.8494	30.3158	34.6835	38.9546	43.1312	9.7472e-04	2.1446e-06	33.7286	39688.4310	18
19.179	9.9856	0.0049	1.7096e-01	0.774	109.080	344.617223	19.000	33.6788	9.9834	1026.0097	25.9231	25.9228	5.0404	79.121	6.37048	6.37345	33.8409	3.2841e-03	9.9975	1026.0151	25.9285	30.3934	34.7597	39.0293	43.2046	9.7464e-04	2.0696e-06	33.8376	39810.0202	19
19.683	9.9893	0.0059	1.7224e-01	0.774	109.882	344.617232	19.500	33.6931	9.9871	1026.0225	25.9337	25.9333	5.0438	79.189	6.36938	6.37235	33.8552	3.2485e-03	10.0009	1026.0279	25.9390	30.4038	34.7698	39.0393	43.2145	9.7463e-04	2.0597e-06	33.8520	39823.4496	19
