PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	7.1418	0.3968	5.9031e-01	1.986	39.576	345.461743	2.000	27.2852	7.1416	1021.3409	21.3316	21.3316	6.1821	87.333	7.07877	7.08462	27.4330	1.9177e-02	7.2410	1021.3563	21.3470	25.9255	30.4019	34.7784	39.0567	9.7909e-04	6.4379e-06	27.4138	28805.8630	16
2.523	7.6406	0.3458	4.8638e-01	0.731	40.744	345.461756	2.500	27.8486	7.6404	1021.7225	21.7108	21.7108	6.0573	86.882	6.97196	6.97711	27.9977	1.7776e-02	7.7368	1021.7371	21.7255	26.2875	30.7480	35.1089	39.3722	9.7873e-04	6.0753e-06	27.9799	30785.0110	29
3.028	7.8585	0.3171	4.8790e-01	0.635	41.867	345.461769	3.000	28.1798	7.8582	1021.9557	21.9418	21.9417	6.0272	87.069	6.92230	6.92717	28.3296	1.6953e-02	7.9518	1021.9700	21.9560	26.5103	30.9632	35.3168	39.5732	9.7850e-04	5.8546e-06	28.3127	31643.2590	25
3.533	8.1650	0.2907	4.2237e-01	0.712	42.935	345.461782	3.500	28.7216	8.1647	1022.3413	22.3251	22.3250	5.9145	86.348	6.84973	6.85425	28.8726	1.5606e-02	8.2528	1022.3548	22.3386	26.8814	31.3233	35.6662	39.9121	9.7813e-04	5.4886e-06	28.8570	32845.0848	26
4.037	7.6851	0.2543	4.4594e-01	0.690	44.140	345.461796	4.000	27.9318	7.6848	1021.7874	21.7687	21.7687	5.9782	85.867	6.96202	6.96711	28.0811	1.7570e-02	7.7800	1021.8019	21.7833	26.3437	30.8026	35.1621	39.4240	9.7866e-04	6.0203e-06	28.0635	30957.4942	32
4.542	8.2424	0.2260	3.4384e-01	0.632	45.393	345.461810	4.500	28.9177	8.2420	1022.4889	22.4680	22.4680	5.8388	85.501	6.82899	6.83345	29.0691	1.5119e-02	8.3278	1022.5021	22.4812	27.0208	31.4594	35.7992	40.0421	9.7799e-04	5.3523e-06	29.0540	33144.2127	28
5.047	8.3145	0.2148	3.3248e-01	0.618	46.532	345.461823	5.000	29.1387	8.3140	1022.6543	22.6311	22.6310	5.8222	85.520	6.80800	6.81242	29.2907	1.4570e-02	8.3970	1022.6671	22.6440	27.1802	31.6155	35.9521	40.1920	9.7783e-04	5.1967e-06	29.2761	33420.8161	27
5.552	8.3579	0.2120	3.3418e-01	0.655	47.662	345.461836	5.500	29.2250	8.3574	1022.7181	22.6927	22.6926	5.8121	85.505	6.79744	6.80181	29.3771	1.4355e-02	8.4394	1022.7309	22.7054	27.2399	31.6736	36.0087	40.2470	9.7778e-04	5.1380e-06	29.3628	33590.0578	27
6.056	8.3897	0.1942	3.2247e-01	0.641	48.792	345.461849	6.000	29.2847	8.3891	1022.7627	22.7350	22.7349	5.7849	85.198	6.78992	6.79425	29.4370	1.4207e-02	8.4704	1022.7754	22.7476	27.2809	31.7135	36.0474	40.2847	9.7773e-04	5.0977e-06	29.4228	33713.8385	28
6.561	8.4905	0.1562	3.1905e-01	0.641	50.037	345.461864	6.500	29.6319	8.4899	1023.0225	22.9924	22.9924	5.7238	84.681	6.75922	6.76351	29.7850	1.3344e-02	8.5665	1023.0346	23.0046	27.5329	31.9607	36.2899	40.5227	9.7748e-04	4.8522e-06	29.7716	34097.3070	32
7.066	8.5502	0.1176	3.2250e-01	0.667	51.315	345.461879	7.000	29.8778	8.5495	1023.2087	23.1763	23.1763	5.6740	84.192	6.73936	6.74364	30.0314	1.2732e-02	8.6227	1023.2204	23.1881	27.7132	32.1378	36.4640	40.6938	9.7731e-04	4.6771e-06	30.0187	34321.7441	27
7.570	8.8096	0.1135	2.9256e-01	0.680	52.396	345.461891	7.500	30.9048	8.8089	1023.9764	23.9418	23.9417	5.5624	83.571	6.65584	6.66004	31.0607	1.0180e-02	8.8671	1023.9864	23.9519	28.4634	32.8747	37.1881	41.4055	9.7658e-04	3.9482e-06	31.0505	35297.3857	26
8.075	8.8913	0.0991	2.6956e-01	0.693	53.596	345.461905	8.000	31.1719	8.8905	1024.1754	24.1386	24.1385	5.4798	82.623	6.63222	6.63637	31.3284	9.5155e-03	8.9447	1024.1850	24.1482	28.6558	33.0635	37.3732	41.5871	9.7639e-04	3.7611e-06	31.3189	35607.2780	31
8.580	9.0466	0.0812	2.3308e-01	0.729	54.816	345.461919	8.500	31.5390	9.0458	1024.4411	24.4021	24.4020	5.3562	81.233	6.59361	6.59760	31.6963	8.6031e-03	9.0947	1024.4502	24.4111	28.9125	33.3141	37.6179	41.8262	9.7613e-04	3.5107e-06	31.6877	36205.8453	27
9.084	9.2881	0.0798	2.2953e-01	0.747	55.940	345.461932	9.000	32.0533	9.2872	1024.8080	24.7667	24.7666	5.2395	80.156	6.53665	6.54037	32.2118	7.3246e-03	9.3283	1024.8162	24.7749	29.2671	33.6597	37.9549	42.1548	9.7579e-04	3.1643e-06	32.2045	37138.5306	29
9.589	9.4430	0.0770	2.1330e-01	0.717	57.179	345.461947	9.500	32.2687	9.4420	1024.9540	24.9104	24.9103	5.1861	79.721	6.50532	6.50882	32.4276	6.7894e-03	9.4799	1024.9618	24.9183	29.4054	33.7932	38.0836	42.2790	9.7565e-04	3.0280e-06	32.4208	37743.8437	29
10.094	9.6472	0.0674	2.0242e-01	0.729	58.311	345.461960	10.000	32.6230	9.6461	1025.2001	25.1544	25.1542	5.1252	79.319	6.46143	6.46467	32.7827	5.9086e-03	9.6784	1025.2074	25.1617	29.6417	34.0226	38.3064	42.4953	9.7541e-04	2.7965e-06	32.7768	38536.1517	26
10.599	9.7164	0.0634	2.0468e-01	0.734	59.459	345.461973	10.500	32.8131	9.7153	1025.3396	25.2916	25.2914	5.1264	79.556	6.44373	6.44690	32.9732	5.4361e-03	9.7444	1025.3465	25.2986	29.7757	34.1537	38.4347	42.6210	9.7528e-04	2.6664e-06	32.9678	38799.7328	30
11.103	9.7701	0.0622	2.0257e-01	0.742	60.682	345.461987	11.000	32.9675	9.7689	1025.4537	25.4035	25.4033	5.1372	79.897	6.42979	6.43291	33.1280	5.0522e-03	9.7954	1025.4604	25.4101	29.8849	34.2607	38.5396	42.7238	9.7517e-04	2.5604e-06	33.1230	39003.1125	27
11.608	9.7693	0.0563	2.0569e-01	0.752	61.770	345.462000	11.500	33.1078	9.7680	1025.5657	25.5131	25.5129	5.1555	80.252	6.42409	6.42727	33.2686	4.7035e-03	9.7921	1025.5720	25.5195	29.9933	34.3681	38.6461	42.8294	9.7507e-04	2.4565e-06	33.2639	38989.9317	26
12.113	9.6892	0.0479	2.1807e-01	0.766	62.915	345.462013	12.000	33.1724	9.6879	1025.6316	25.5768	25.5766	5.2185	81.124	6.43271	6.43607	33.3334	4.5428e-03	9.7106	1025.6378	25.5830	30.0581	34.4341	38.7133	42.8978	9.7500e-04	2.3962e-06	33.3288	38664.6285	29
12.617	9.7095	0.0434	1.9586e-01	0.766	64.105	345.462027	12.500	33.2338	9.7081	1025.6785	25.6214	25.6212	5.2234	81.270	6.42731	6.43065	33.3949	4.3903e-03	9.7298	1025.6846	25.6275	30.1017	34.4769	38.7552	42.9389	9.7496e-04	2.3541e-06	33.3905	38741.3327	27
13.122	9.7343	0.0368	2.0075e-01	0.777	65.171	345.462039	13.000	33.4332	9.7329	1025.8325	25.7731	25.7729	5.2285	81.497	6.41559	6.41896	33.5948	3.8945e-03	9.7510	1025.8382	25.7789	30.2510	34.6243	38.9008	43.0826	9.7481e-04	2.2103e-06	33.5909	38826.0088	25
13.627	9.6523	0.0358	2.0053e-01	0.796	66.219	345.462051	13.500	33.4786	9.6508	1025.8837	25.8221	25.8218	5.2555	81.795	6.42523	6.42877	33.6402	3.7818e-03	9.6681	1025.8893	25.8277	30.3013	34.6760	38.9538	43.1370	9.7476e-04	2.1640e-06	33.6365	38494.8916	26
14.131	9.6309	0.0352	2.0794e-01	0.796	67.274	345.462063	14.000	33.4861	9.6293	1025.8954	25.8315	25.8312	5.2717	82.013	6.42794	6.43154	33.6478	3.7631e-03	9.6464	1025.9010	25.8371	30.3111	34.6862	38.9644	43.1480	9.7475e-04	2.1552e-06	33.6440	38408.2034	25
14.636	9.5828	0.0318	2.0951e-01	0.830	68.321	345.462076	14.500	33.5272	9.5812	1025.9377	25.8715	25.8712	5.2729	81.967	6.43301	6.43671	33.6890	3.6609e-03	9.5975	1025.9432	25.8770	30.3518	34.7276	39.0065	43.1907	9.7471e-04	2.1174e-06	33.6853	38213.0088	25
15.141	9.6073	0.0315	1.9918e-01	0.836	69.390	345.462088	15.000	33.5942	9.6057	1025.9883	25.9198	25.9196	5.2254	81.306	6.42679	6.43047	33.7561	3.4945e-03	9.6208	1025.9937	25.9252	30.3990	34.7738	39.0517	43.2350	9.7466e-04	2.0717e-06	33.7526	38306.0691	26
