PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	6.4637	0.9342	1.0066e+00	4.810	129.477	344.653316	2.000	19.6838	6.4636	1015.4426	15.4331	15.4331	6.8409	90.443	7.56171	7.56462	19.8147	3.8072e-02	6.6449	1015.4699	15.4604	20.1159	24.6674	29.1167	33.4659	9.8476e-04	1.2112e-05	19.7766	26425.6398	13
2.523	6.5499	0.6370	9.7980e-01	4.519	130.423	344.653327	2.500	23.3563	6.5497	1018.3231	18.3113	18.3113	7.0243	95.367	7.36619	7.37105	23.4954	2.8943e-02	6.6905	1018.3445	18.3327	22.9569	27.4777	31.8973	36.2174	9.8199e-04	9.3363e-06	23.4665	26608.3056	23
3.028	6.8249	0.4328	1.0461e+00	2.897	131.361	344.653338	3.000	24.9307	6.8247	1019.5326	19.5185	19.5185	7.1575	98.819	7.24300	7.24822	25.0732	2.5030e-02	6.9505	1019.5516	19.5375	24.1423	28.6443	33.0456	37.3480	9.8082e-04	8.1756e-06	25.0482	27645.9989	22
3.533	7.3362	0.3759	9.8810e-01	2.245	132.246	344.653348	3.500	25.4430	7.3359	1019.8779	19.8615	19.8614	6.8954	96.667	7.13278	7.13731	25.5868	2.3756e-02	7.4618	1019.8963	19.8799	24.4679	28.9537	33.3391	37.6263	9.8049e-04	7.8465e-06	25.5630	29687.3373	21
4.037	7.6287	0.3327	7.7549e-01	1.628	133.152	344.653358	4.000	26.9515	7.6284	1021.0275	21.0088	21.0088	6.5401	93.229	7.01488	7.01961	27.0986	2.0006e-02	7.7372	1021.0436	21.0249	25.5941	30.0616	34.4293	38.6993	9.7939e-04	6.7470e-06	27.0786	30786.5379	22
4.542	7.7390	0.3168	8.2948e-01	1.294	134.058	344.653369	4.500	27.7536	7.7386	1021.6445	21.6236	21.6235	6.3120	90.683	6.96050	6.96540	27.9025	1.8012e-02	7.8372	1021.6594	21.6385	26.1988	30.6577	35.0171	39.2790	9.7880e-04	6.1589e-06	27.8845	31186.0869	22
5.047	7.7842	0.2980	7.4506e-01	1.028	134.971	344.653379	5.000	28.1169	7.7838	1021.9258	21.9026	21.9025	6.1553	88.733	6.93679	6.94178	28.2666	1.7109e-02	7.8776	1021.9401	21.9169	26.4734	30.9285	35.2842	39.5426	9.7853e-04	5.8923e-06	28.2495	31347.2909	22
5.552	7.8444	0.2759	6.7242e-01	0.853	135.892	344.653390	5.500	28.3635	7.8439	1022.1135	22.0879	22.0879	6.0221	87.073	6.91610	6.92108	28.5137	1.6496e-02	7.9347	1022.1274	22.1019	26.6550	31.1069	35.4595	39.7149	9.7835e-04	5.7153e-06	28.4972	31575.1606	22
6.056	8.0332	0.2424	6.7507e-01	0.800	136.801	344.653400	6.000	28.7027	8.0327	1022.3562	22.3284	22.3283	5.8825	85.611	6.87114	6.87591	28.8537	1.5653e-02	8.1201	1022.3697	22.3418	26.8879	31.3329	35.6789	39.9278	9.7812e-04	5.4857e-06	28.8380	32315.0816	21
6.561	8.3158	0.2214	7.2035e-01	0.769	137.687	344.653411	6.500	29.1734	8.3152	1022.6883	22.6582	22.6581	5.7834	84.972	6.80624	6.81067	29.3254	1.4483e-02	8.3976	1022.7011	22.6710	27.2069	31.6419	35.9783	40.2179	9.7780e-04	5.1710e-06	29.3110	33423.1816	22
