PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	6.4010	0.3463	5.1646e-01	0.632	19.594	345.544405	2.000	24.1361	6.4009	1018.9496	18.9402	18.9402	6.6186	90.005	7.35420	7.35978	24.2769	2.7004e-02	6.5304	1018.9698	18.9604	23.5821	28.1007	32.5180	36.8359	9.8138e-04	8.7310e-06	24.2499	25969.0888	14
2.523	7.0098	0.3202	4.6423e-01	0.657	20.670	345.544417	2.500	26.6831	7.0096	1020.8860	20.8743	20.8743	6.2529	87.713	7.12886	7.13466	26.8296	2.0673e-02	7.1155	1020.9023	20.8907	25.4771	29.9613	34.3452	38.6308	9.7953e-04	6.8756e-06	26.8090	28304.7334	26
3.028	7.2847	0.3096	3.9844e-01	0.602	21.640	345.544429	3.000	27.0712	7.2845	1021.1597	21.1457	21.1456	6.1414	86.920	7.06545	7.07091	27.2186	1.9709e-02	7.3881	1021.1755	21.1615	25.7381	30.2128	34.5875	38.8642	9.7926e-04	6.6159e-06	27.1989	29392.9714	21
3.533	7.9757	0.2861	3.6710e-01	0.582	22.529	345.544439	3.500	28.0115	7.9754	1021.8107	21.7944	21.7944	5.9517	86.115	6.91125	6.91581	28.1609	1.7372e-02	8.0724	1021.8253	21.8090	26.3617	30.8132	35.1654	39.4203	9.7864e-04	5.9955e-06	28.1436	32124.7659	22
4.037	7.9106	0.2525	3.5462e-01	0.603	23.459	345.544450	4.000	28.0953	7.9102	1021.8874	21.8688	21.8688	5.8868	85.097	6.91777	6.92249	28.2450	1.7163e-02	8.0055	1021.9018	21.8832	26.4369	30.8892	35.2423	39.4980	9.7857e-04	5.9244e-06	28.2278	31857.7695	23
4.542	8.1732	0.2191	3.3125e-01	0.627	24.399	345.544461	4.500	28.4352	8.1728	1022.1205	22.0996	22.0995	5.7997	84.528	6.86129	6.86567	28.5856	1.6318e-02	8.2652	1022.1344	22.1135	26.6584	31.1022	35.4469	39.6947	9.7834e-04	5.7041e-06	28.5693	32894.5173	22
5.047	8.5224	0.1849	3.4985e-01	0.648	25.334	345.544471	5.000	29.1937	8.5219	1022.6679	22.6448	22.6447	5.7174	84.406	6.77361	6.77765	29.3457	1.4433e-02	8.6056	1022.6808	22.6577	27.1886	31.6188	35.9505	40.1856	9.7782e-04	5.1836e-06	29.3313	34253.4938	23
5.552	8.6398	0.1577	3.1857e-01	0.635	26.290	345.544483	5.500	29.6420	8.6393	1023.0043	22.9789	22.9788	5.6562	83.969	6.73606	6.74006	29.7951	1.3318e-02	8.7168	1023.0164	22.9910	27.5159	31.9402	36.2661	40.4956	9.7750e-04	4.8651e-06	29.7818	34697.2582	23
6.056	8.6706	0.1373	3.0665e-01	0.646	27.266	345.544494	6.000	29.9561	8.6700	1023.2479	23.2202	23.2201	5.5917	83.238	6.71771	6.72179	30.1099	1.2538e-02	8.7427	1023.2595	23.2318	27.7535	32.1749	36.4979	40.7247	9.7727e-04	4.6351e-06	30.0974	34800.7041	23
6.561	8.8528	0.1364	2.7734e-01	0.665	28.192	345.544505	6.500	30.3931	8.8522	1023.5650	23.5350	23.5349	5.4697	81.985	6.67150	6.67541	30.5479	1.1451e-02	8.9190	1023.5759	23.5460	28.0603	32.4744	36.7905	41.0105	9.7697e-04	4.3353e-06	30.5364	35504.2393	22
