PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	5.0149	1.5739	9.9753e-01	1.435	28.645	344.607172	2.000	18.5754	5.0148	1014.6906	14.6810	14.6810	7.2971	92.473	7.89134	7.89578	18.7038	4.0827e-02	5.1746	1014.7198	14.7102	19.4138	24.0119	28.5066	32.8995	9.8549e-04	1.2841e-05	18.6630	20556.6895	20
2.523	5.4279	0.6674	8.2200e-01	0.706	30.026	344.607188	2.500	20.7589	5.4277	1016.3833	16.3714	16.3714	7.0183	91.151	7.69946	7.70470	20.8921	3.5399e-02	5.5762	1016.4088	16.3969	21.0714	25.6413	30.1084	34.4745	9.8386e-04	1.1206e-05	20.8567	22159.9424	32
3.028	6.0394	0.5481	6.9793e-01	0.751	31.345	344.607203	3.000	23.2785	6.0392	1018.3158	18.3016	18.3016	6.7695	90.738	7.46045	7.46619	23.4174	2.9136e-02	6.1728	1018.3373	18.3231	22.9611	27.4954	31.9279	36.2607	9.8199e-04	9.3454e-06	23.3883	24541.4933	32
3.533	6.3007	0.4467	6.7150e-01	0.664	32.694	344.607219	3.500	24.5440	6.3005	1019.2881	19.2716	19.2715	6.6632	90.631	7.35201	7.35801	24.6857	2.5991e-02	6.4238	1019.3076	19.2911	23.9122	28.4301	32.8468	37.1641	9.8106e-04	8.4127e-06	24.6597	25543.5014	34
4.037	6.3396	0.3579	6.4214e-01	0.658	34.221	344.607236	4.000	24.9391	6.3393	1019.5973	19.5785	19.5784	6.6413	90.653	7.32603	7.33219	25.0817	2.5008e-02	6.4586	1019.6162	19.5974	24.2144	28.7283	33.1410	37.4545	9.8076e-04	8.1180e-06	25.0567	25682.4853	38
4.542	6.4600	0.3306	5.9108e-01	0.659	35.751	344.607254	4.500	25.5062	6.4597	1020.0329	20.0117	20.0117	6.5935	90.597	7.27783	7.28408	25.6500	2.3599e-02	6.5738	1020.0509	20.0298	24.6392	29.1458	33.5514	37.8580	9.8034e-04	7.7023e-06	25.6265	26142.3605	34
5.047	6.5400	0.2847	5.6062e-01	0.664	37.144	344.607270	5.000	25.7006	6.5396	1020.1793	20.1558	20.1558	6.5732	90.605	7.25479	7.26099	25.8449	2.3116e-02	6.6524	1020.1971	20.1736	24.7795	29.2826	33.6849	37.9882	9.8020e-04	7.5641e-06	25.8218	26456.0113	34
5.552	6.6945	0.2846	5.1036e-01	0.638	38.620	344.607287	5.500	26.0298	6.6941	1020.4232	20.3974	20.3973	6.4713	89.719	7.21278	7.21886	26.1749	2.2297e-02	6.8046	1020.4405	20.4147	25.0141	29.5109	33.9071	38.2045	9.7997e-04	7.3326e-06	26.1526	27063.8688	37
6.056	6.8592	0.2659	4.9877e-01	0.634	40.165	344.607305	6.000	26.4730	6.8587	1020.7550	20.7269	20.7268	6.4146	89.540	7.16398	7.16997	26.6191	2.1196e-02	6.9657	1020.7716	20.7435	25.3353	29.8248	34.2138	38.5043	9.7965e-04	7.0170e-06	26.5979	27706.6821	36
6.561	7.2705	0.2497	4.9139e-01	0.685	41.578	344.607321	6.500	27.3000	7.2700	1021.3573	21.3270	21.3269	6.3458	89.919	7.05726	7.06286	27.4479	1.9140e-02	7.3703	1021.3728	21.3424	25.9177	30.3910	34.7644	39.0398	9.7908e-04	6.4427e-06	27.4288	29322.1688	33
7.066	7.4133	0.2351	4.7399e-01	0.659	42.954	344.607337	7.000	27.6247	7.4127	1021.5969	21.5642	21.5642	6.1881	88.163	7.01888	7.02436	27.7733	1.8333e-02	7.5101	1021.6119	21.5792	26.1484	30.6159	34.9837	39.2536	9.7885e-04	6.2158e-06	27.7550	29880.1224	34
7.570	7.5970	0.2152	4.4371e-01	0.647	44.543	344.607356	7.500	28.0503	7.5964	1021.9094	21.8745	21.8744	5.9686	85.635	6.96991	6.97524	28.1998	1.7275e-02	7.6894	1021.9238	21.8889	26.4504	30.9104	35.2709	39.5338	9.7855e-04	5.9194e-06	28.1826	30595.9920	40
8.075	8.1780	0.1984	3.9026e-01	0.632	46.118	344.607374	8.000	29.0295	8.1772	1022.6013	22.5643	22.5642	5.8858	86.123	6.83420	6.83884	29.1812	1.4841e-02	8.2608	1022.6143	22.5772	27.1175	31.5568	35.8972	40.1408	9.7789e-04	5.2608e-06	29.1664	32876.8208	35
8.580	8.6635	0.1886	3.6000e-01	0.641	47.488	344.607390	8.500	29.9011	8.6626	1023.2175	23.1782	23.1781	5.8017	86.320	6.72119	6.72525	30.0548	1.2674e-02	8.7362	1023.2292	23.1900	27.7123	32.1342	36.4578	40.6851	9.7730e-04	4.6755e-06	30.0421	34774.6260	32
9.084	8.5143	0.1430	3.7267e-01	0.659	48.668	344.607404	9.000	30.5206	8.5134	1023.7264	23.6849	23.6847	5.8078	86.468	6.71674	6.72136	30.6757	1.1134e-02	8.5763	1023.7370	23.6955	28.2166	32.6373	36.9597	41.1859	9.7681e-04	4.1930e-06	30.6645	34136.4144	26
9.589	8.4611	0.1126	4.1431e-01	0.683	49.774	344.607416	9.500	30.6588	8.4602	1023.8446	23.8007	23.8006	5.8130	86.519	6.71876	6.72355	30.8141	1.0791e-02	8.5206	1023.8549	23.8111	28.3324	32.7533	37.0759	41.3023	9.7670e-04	4.0827e-06	30.8033	33914.1661	26
