PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	5.8359	1.8112	8.4673e-01	2.226	38.262	344.690026	2.000	22.0067	5.8358	1017.3308	17.3213	17.3213	6.9485	91.940	7.55846	7.56384	22.1427	3.2298e-02	5.9809	1017.3543	17.3448	21.9981	26.5474	30.9944	35.3412	9.8294e-04	1.0288e-05	22.1105	23775.2290	15
2.523	6.6998	0.7545	8.8301e-01	1.841	39.344	344.690039	2.500	26.9862	6.6996	1021.1604	21.1487	21.1487	6.5156	90.912	7.16672	7.17331	27.1333	1.9920e-02	6.7982	1021.1762	21.1645	25.7562	30.2457	34.6346	38.9250	9.7926e-04	6.6132e-06	27.1134	27038.2190	26
3.028	7.1406	0.3168	7.6550e-01	1.327	40.495	344.690052	3.000	28.0163	7.1404	1021.9194	21.9054	21.9053	6.2976	89.381	7.04550	7.05173	28.1657	1.7359e-02	7.2298	1021.9336	21.9196	26.4925	30.9635	35.3347	39.6079	9.7854e-04	5.8895e-06	28.1484	28761.2530	29
3.533	7.2417	0.2338	6.4748e-01	1.239	41.693	344.690066	3.500	28.2566	7.2414	1022.0982	22.0819	22.0819	6.2178	88.601	7.01772	7.02387	28.4066	1.6762e-02	7.3285	1022.1121	22.0958	26.6643	31.1312	35.4982	39.7674	9.7837e-04	5.7208e-06	28.3899	29155.3665	28
4.037	7.4722	0.2182	6.4619e-01	1.307	42.857	344.690079	4.000	28.6239	7.4719	1022.3594	22.3408	22.3407	6.1456	88.251	6.96374	6.96960	28.7747	1.5849e-02	7.5559	1022.3728	22.3541	26.9143	31.3729	35.7320	39.9936	9.7812e-04	5.4737e-06	28.7588	30062.9417	27
4.542	7.7408	0.1976	5.7332e-01	0.886	43.939	344.690092	4.500	29.0655	7.7404	1022.6731	22.6522	22.6522	6.0632	87.862	6.90084	6.90636	29.2173	1.4751e-02	7.8203	1022.6859	22.6650	27.2152	31.6643	36.0142	40.2668	9.7782e-04	5.1765e-06	29.2025	31118.4204	26
5.047	7.8079	0.1838	5.4548e-01	0.762	45.047	344.690105	5.000	29.3182	7.8075	1022.8646	22.8414	22.8414	6.0900	88.531	6.87887	6.88438	29.4705	1.4123e-02	7.8842	1022.8770	22.8538	27.4005	31.8462	36.1927	40.4422	9.7764e-04	4.9960e-06	29.4564	31373.4424	28
5.552	7.8788	0.1582	5.2275e-01	0.737	46.312	344.690119	5.500	29.5451	7.8783	1023.0352	23.0097	23.0097	6.1213	89.263	6.85764	6.86311	29.6980	1.3559e-02	7.9521	1023.0472	23.0217	27.5651	32.0074	36.3508	40.5971	9.7747e-04	4.8357e-06	29.6844	31644.6914	32
6.056	7.8094	0.1315	4.9473e-01	0.684	47.572	344.690134	6.000	29.4213	7.8088	1022.9500	22.9221	22.9220	6.1660	89.700	6.87404	6.87959	29.5739	1.3867e-02	7.8840	1022.9621	22.9343	27.4802	31.9251	36.2708	40.5196	9.7755e-04	4.9192e-06	29.5600	31372.7972	28
6.561	7.7121	0.1127	4.8464e-01	0.678	48.687	344.690147	6.500	29.2778	7.7115	1022.8527	22.8226	22.8225	6.1647	89.397	6.89584	6.90153	29.4301	1.4224e-02	7.7880	1022.8651	22.8349	27.3843	31.8325	36.1814	40.4333	9.7765e-04	5.0142e-06	29.4158	30989.7519	26
