Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.27398	11.46668	2.019	5.7632	0.9557	52.325	344.668233	2.000	22.4963	5.7631	1017.7218	17.7123	17.7123	12.7096	168.409	7.54881	7.55459	22.6335	3.1080e-02	5.9007	1017.7445	17.7350	22.3865	26.9339	31.3792	35.7242	9.8256e-04	9.9125e-06	22.6024	23455.3424	15
58.27398	11.46668	2.523	5.9705	0.8231	53.346	344.668245	2.500	23.4220	5.9703	1018.4334	18.4215	18.4215	11.3227	151.643	7.46556	7.47152	23.5612	2.8780e-02	6.1013	1018.4546	18.4428	23.0814	27.6163	32.0495	36.3827	9.8188e-04	9.2299e-06	23.5324	24256.1668	24
58.27400	11.46668	3.028	6.1263	0.8445	54.359	344.668257	3.000	23.9779	6.1261	1018.8582	18.8440	18.8440	10.2338	138.100	7.41028	7.41629	24.1184	2.7398e-02	6.2534	1018.8786	18.8644	23.4945	28.0212	32.4463	36.7718	9.8147e-04	8.8235e-06	24.0910	24863.3652	24
58.27400	11.46668	3.533	6.3303	0.8488	55.379	344.668268	3.500	25.2042	6.3301	1019.8044	19.7880	19.7879	9.6150	131.432	7.31500	7.32132	25.3475	2.4349e-02	6.4460	1019.8229	19.8065	24.4216	28.9337	33.3447	37.6565	9.8056e-04	7.9171e-06	25.3231	25632.1220	25
58.27400	11.46670	4.038	6.5792	0.8239	56.413	344.668280	4.000	26.4881	6.5789	1020.7896	20.7708	20.7708	9.0952	126.132	7.21063	7.21719	26.6342	2.1158e-02	6.6824	1020.8061	20.7874	25.3861	29.8822	34.2777	38.5745	9.7962e-04	6.9749e-06	26.6130	26576.0298	25
58.27400	11.46670	4.542	6.7890	0.7739	57.433	344.668292	4.500	27.2105	6.7887	1021.3359	21.3148	21.3148	8.7875	123.054	7.14105	7.14758	27.3582	1.9362e-02	6.8854	1021.3514	21.3303	25.9181	30.4036	34.7888	39.0756	9.7909e-04	6.4541e-06	27.3388	27386.2471	24
58.27400	11.46670	5.047	7.0092	0.7298	58.429	344.668304	5.000	27.6805	7.0088	1021.6814	21.6580	21.6579	8.5033	120.060	7.08245	7.08878	27.8292	1.8194e-02	7.1016	1021.6961	21.6727	26.2514	30.7281	35.1047	39.3832	9.7877e-04	6.1260e-06	27.8110	28249.3774	24
58.27400	11.46670	5.552	7.5724	0.6890	59.403	344.668315	5.500	28.7688	7.5719	1022.4669	22.4413	22.4412	8.1316	117.143	6.94126	6.94699	28.9200	1.5489e-02	7.6546	1022.4800	22.4544	27.0111	31.4663	35.8221	40.0805	9.7801e-04	5.3779e-06	28.9045	30457.1723	23
58.27400	11.46670	6.056	7.8810	0.5687	60.337	344.668326	6.000	29.2787	7.8805	1022.8285	22.8006	22.8006	7.8850	114.788	6.86918	6.87452	29.4310	1.4221e-02	7.9582	1022.8409	22.8131	27.3584	31.8027	36.1479	40.3960	9.7767e-04	5.0351e-06	29.4168	31669.1009	22
58.27400	11.46670	6.561	8.0149	0.4582	61.277	344.668337	6.500	29.8039	8.0143	1023.2241	23.1940	23.1939	7.5797	111.055	6.82488	6.83019	29.9574	1.2916e-02	8.0852	1023.2358	23.2056	27.7438	32.1811	36.5196	40.7612	9.7729e-04	4.6601e-06	29.9445	32176.0097	23
