Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.36734	11.57732	4.985	9.0096	0.2497	0.479	345.497332	4.939	29.8449	9.0091	1023.1059	23.0832	23.0831	5.8232	87.282	6.67166	6.67504	29.9985	1.2814e-02	9.0857	1023.1179	23.0952	27.6100	32.0246	36.3411	40.5616	9.7740e-04	4.7655e-06	29.9857	36170.0337	24
58.36744	11.57734	4.987	9.0068	0.2380	1.479	345.497344	4.941	29.8408	9.0063	1023.1031	23.0804	23.0803	5.8317	87.402	6.67225	6.67563	29.9943	1.2824e-02	9.0831	1023.1151	23.0924	27.6072	32.0220	36.3385	40.5591	9.7741e-04	4.7682e-06	29.9815	36159.3380	24
58.36744	11.57736	4.988	9.0079	0.2553	2.479	345.497355	4.942	29.8423	9.0074	1023.1042	23.0814	23.0813	5.8622	87.862	6.67203	6.67540	29.9959	1.2821e-02	9.0841	1023.1162	23.0934	27.6083	32.0229	36.3395	40.5600	9.7741e-04	4.7672e-06	29.9831	36163.4731	24
58.36744	11.57736	4.989	9.0093	0.2690	3.479	345.497367	4.943	29.8450	9.0088	1023.1061	23.0833	23.0832	5.8670	87.938	6.67170	6.67508	29.9986	1.2814e-02	9.0855	1023.1181	23.0953	27.6101	32.0247	36.3412	40.5617	9.7740e-04	4.7655e-06	29.9857	36169.0561	24
58.36744	11.57736	4.992	9.0109	0.2700	4.479	345.497378	4.946	29.8523	9.0104	1023.1116	23.0888	23.0887	5.8510	87.706	6.67114	6.67452	30.0059	1.2796e-02	9.0870	1023.1235	23.1007	27.6155	32.0300	36.3464	40.5668	9.7740e-04	4.7602e-06	29.9931	36175.0218	24
58.36744	11.57736	4.995	9.0159	0.2654	5.479	345.497390	4.948	29.8715	9.0154	1023.1258	23.1030	23.1029	5.7715	86.535	6.66958	6.67296	30.0250	1.2748e-02	9.0917	1023.1377	23.1149	27.6294	32.0436	36.3598	40.5800	9.7739e-04	4.7467e-06	30.0123	36193.6611	24
58.36746	11.57736	4.996	9.0202	0.2527	6.479	345.497401	4.949	29.8791	9.0197	1023.1311	23.1083	23.1083	5.7727	86.565	6.66861	6.67198	30.0328	1.2729e-02	9.0959	1023.1431	23.1203	27.6346	32.0487	36.3647	40.5848	9.7738e-04	4.7416e-06	30.0200	36210.4826	24
58.36746	11.57736	4.994	9.0239	0.2879	7.479	345.497413	4.948	29.8847	9.0234	1023.1349	23.1121	23.1120	5.8289	87.419	6.66781	6.67117	30.0383	1.2715e-02	9.0996	1023.1468	23.1240	27.6382	32.0522	36.3681	40.5881	9.7738e-04	4.7380e-06	30.0256	36225.1865	24
58.36746	11.57736	4.992	9.0244	0.3001	8.479	345.497425	4.946	29.8836	9.0238	1023.1340	23.1112	23.1111	5.8201	87.286	6.66779	6.67116	30.0373	1.2718e-02	9.1000	1023.1459	23.1232	27.6373	32.0514	36.3673	40.5872	9.7738e-04	4.7388e-06	30.0245	36226.9633	24
58.36746	11.57736	4.988	9.0125	0.3077	9.479	345.497436	4.942	29.8581	9.0120	1023.1158	23.0930	23.0930	5.7819	86.676	6.67065	6.67403	30.0117	1.2781e-02	9.0885	1023.1278	23.1050	27.6197	32.0341	36.3504	40.5708	9.7739e-04	4.7561e-06	29.9989	36181.1582	24
