Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.27838	11.47840	2.019	5.6171	1.0820	86.084	344.640360	2.000	22.2596	5.6170	1017.5487	17.5392	17.5392	6.4692	85.267	7.58737	7.59327	22.3962	3.1669e-02	5.7545	1017.5718	17.5623	22.2195	26.7725	31.2233	35.5736	9.8273e-04	1.0079e-05	22.3645	22871.7007	16
58.27838	11.47840	2.523	5.9378	1.0484	87.168	344.640372	2.500	23.2867	5.9376	1018.3300	18.3182	18.3182	6.2969	84.203	7.47808	7.48402	23.4256	2.9116e-02	6.0696	1018.3515	18.3397	22.9802	27.5170	31.9520	36.2870	9.8198e-04	9.3293e-06	23.3965	24129.5392	25
58.27838	11.47840	3.028	6.3525	1.0012	88.206	344.640384	3.000	25.0642	6.3523	1019.6894	19.6753	19.6753	6.1019	83.382	7.31797	7.32418	25.2071	2.4698e-02	6.4700	1019.7082	19.6941	24.3097	28.8224	33.2339	37.5462	9.8067e-04	8.0253e-06	25.1824	25728.2232	25
58.27838	11.47840	3.533	6.6673	1.0083	89.186	344.640396	3.500	26.8024	6.6670	1021.0245	21.0081	21.0080	5.9930	83.459	7.18075	7.18731	26.9492	2.0377e-02	6.7676	1021.0405	21.0241	25.6181	30.1097	34.5008	38.7933	9.7939e-04	6.7477e-06	26.9288	26916.2538	23
58.27838	11.47840	4.038	6.8620	0.9793	90.168	344.640407	4.000	27.3119	6.8617	1021.4047	21.3860	21.3859	5.9543	83.580	7.12407	7.13051	27.4598	1.9110e-02	6.9578	1021.4200	21.4013	25.9865	30.4695	34.8522	39.1366	9.7903e-04	6.3860e-06	27.4407	27675.3859	23
58.27838	11.47840	4.542	7.1327	0.9146	91.168	344.640419	4.500	27.8678	7.1324	1021.8109	21.7900	21.7899	5.9889	84.909	7.05353	7.05970	28.0170	1.7729e-02	7.2238	1021.8254	21.8044	26.3786	30.8510	35.2234	39.4978	9.7864e-04	5.9999e-06	27.9992	28737.2005	25
58.27838	11.47840	5.047	7.4187	0.7885	92.156	344.640430	5.000	28.3768	7.4183	1022.1771	22.1538	22.1538	6.0939	87.262	6.98354	6.98939	28.5271	1.6464e-02	7.5053	1022.1909	22.1676	26.7309	31.1926	35.5548	39.8192	9.7829e-04	5.6523e-06	28.5106	29861.1830	23
58.27838	11.47840	5.552	7.5626	0.7028	93.095	344.640441	5.500	28.7387	7.5621	1022.4449	22.4193	22.4192	6.2549	90.079	6.94397	6.94970	28.8897	1.5564e-02	7.6452	1022.4581	22.4325	26.9895	31.4452	35.8014	40.0603	9.7803e-04	5.3989e-06	28.8742	30419.7488	22
58.27838	11.47840	6.056	7.7610	0.6683	94.029	344.640452	6.000	29.2284	7.7605	1022.8052	22.7774	22.7773	6.3637	92.357	6.89030	6.89586	29.3806	1.4346e-02	7.8381	1022.8177	22.7898	27.3384	31.7858	36.1340	40.3851	9.7769e-04	5.0573e-06	29.3663	31189.5269	22
58.27838	11.47840	6.561	7.7984	0.6373	94.961	344.640463	6.500	29.2709	7.7978	1022.8359	22.8057	22.8056	6.6359	96.417	6.88249	6.88799	29.4232	1.4241e-02	7.8751	1022.8483	22.8181	27.3655	31.8117	36.1588	40.4088	9.7766e-04	5.0303e-06	29.4090	31337.4634	23
58.27837	11.47840	7.066	7.8437	0.6011	95.910	344.640474	7.000	29.3187	7.8430	1022.8696	22.8371	22.8370	7.3662	107.172	6.87323	6.87867	29.4711	1.4122e-02	7.9199	1022.8819	22.8494	27.3953	31.8402	36.1859	40.4346	9.7763e-04	5.0004e-06	29.4569	31516.2749	23
58.27836	11.47840	7.570	7.9031	0.5788	96.862	344.640485	7.500	29.4604	7.9024	1022.9749	22.9401	22.9400	8.0397	117.241	6.85757	6.86295	29.6131	1.3770e-02	7.9777	1022.9870	22.9523	27.4957	31.9381	36.2815	40.5279	9.7753e-04	4.9022e-06	29.5993	31746.8569	23
58.27836	11.47840	8.075	8.0348	0.5499	97.811	344.640495	8.000	29.9869	8.0340	1023.3718	23.3347	23.3346	8.3934	123.193	6.81369	6.81905	30.1408	1.2461e-02	8.1022	1023.3831	23.3460	27.8824	32.3179	36.6546	40.8946	9.7715e-04	4.5263e-06	30.1283	32244.1172	22
58.27836	11.47840	8.580	8.4475	0.5125	98.775	344.640507	8.500	30.6687	8.4467	1023.8497	23.8105	23.8103	8.9703	133.476	6.72038	6.72521	30.8240	1.0766e-02	8.5069	1023.8600	23.8208	28.3423	32.7635	37.0863	41.3129	9.7670e-04	4.0733e-06	30.8133	33859.3487	24
58.27836	11.47840	9.085	8.4415	0.5074	99.744	344.640518	9.000	30.6908	8.4406	1023.8701	23.8286	23.8284	9.5348	141.879	6.72039	6.72523	30.8462	1.0712e-02	8.5004	1023.8803	23.8388	28.3603	32.7815	37.1043	41.3308	9.7668e-04	4.0562e-06	30.8355	33833.6583	23
58.27836	11.47840	9.589	8.7686	0.4795	100.718	344.640529	9.500	31.2961	8.7676	1024.2980	24.2543	24.2542	9.6103	144.625	6.64505	6.64949	31.4529	9.2069e-03	8.8193	1024.3074	24.2636	28.7731	33.1826	37.4941	41.7097	9.7627e-04	3.6513e-06	31.4437	35106.6577	24
