PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	5.7569	0.9234	7.3290e-01	0.889	31.596	344.532357	2.000	22.3190	5.7568	1017.5826	17.5731	17.5731	6.9915	92.495	7.55896	7.56463	22.4558	3.1521e-02	5.8961	1017.6056	17.5961	22.2491	26.7981	31.2449	35.5914	9.8270e-04	1.0047e-05	22.4243	23436.6573	17
2.523	5.8776	0.8683	7.9957e-01	0.868	32.920	344.532372	2.500	22.6128	5.8775	1017.8048	17.7929	17.7929	6.9075	91.823	7.52252	7.52816	22.7502	3.0791e-02	6.0157	1017.8273	17.8155	22.4630	27.0066	31.4482	35.7897	9.8248e-04	9.8350e-06	22.7194	23914.1222	34
3.028	6.3555	0.7318	7.0158e-01	0.719	34.330	344.532388	3.000	24.4259	6.3553	1019.1866	19.1725	19.1725	6.6393	90.346	7.34847	7.35430	24.5673	2.6284e-02	6.4806	1019.2064	19.1922	23.8129	28.3304	32.7466	37.0635	9.8116e-04	8.5081e-06	24.5411	25770.1382	32
3.533	6.4512	0.6578	6.3484e-01	0.709	35.510	344.532402	3.500	25.3640	6.4509	1019.9172	19.9008	19.9007	6.5470	89.855	7.28621	7.29239	25.5075	2.3952e-02	6.5666	1019.9355	19.9190	24.5298	29.0377	33.4446	37.7524	9.8046e-04	7.8087e-06	25.4836	26113.7310	25
4.037	6.7947	0.6111	6.4368e-01	0.731	36.538	344.532414	4.000	26.0522	6.7944	1020.4221	20.4033	20.4033	6.5073	90.445	7.19486	7.20075	26.1973	2.2242e-02	6.9058	1020.4394	20.4206	25.0173	29.5116	33.9052	38.2002	9.7997e-04	7.3269e-06	26.1750	27467.8620	25
4.542	6.8089	0.5713	6.4437e-01	0.678	37.698	344.532427	4.500	26.5284	6.8085	1020.7974	20.7763	20.7762	6.5505	91.361	7.16981	7.17593	26.6746	2.1058e-02	6.9142	1020.8139	20.7928	25.3854	29.8757	34.2655	38.5567	9.7961e-04	6.9696e-06	26.6535	27501.2229	31
5.047	6.6794	0.4827	6.7780e-01	0.667	39.027	344.532442	5.000	26.9978	6.6790	1021.1838	21.1604	21.1604	6.5584	91.477	7.16941	7.17605	27.1450	1.9891e-02	6.7773	1021.1996	21.1762	25.7683	30.2582	34.6475	38.9383	9.7924e-04	6.6019e-06	27.1251	26954.9668	32
5.551	6.6934	0.4445	7.2481e-01	0.670	40.296	344.532457	5.500	26.9290	6.6930	1021.1305	21.1047	21.1046	6.5496	91.343	7.17032	7.17690	27.0761	2.0062e-02	6.7923	1021.1463	21.1206	25.7129	30.2029	34.5925	38.8834	9.7929e-04	6.6552e-06	27.0560	27014.7590	28
6.056	6.9282	0.4308	6.2075e-01	0.658	41.391	344.532470	6.000	27.3167	6.9277	1021.4099	21.3819	21.3818	6.4786	91.082	7.11285	7.11915	27.4647	1.9098e-02	7.0245	1021.4252	21.3972	25.9807	30.4621	34.8433	39.1262	9.7902e-04	6.3901e-06	27.4456	27941.6323	25
6.561	7.1035	0.4348	5.9404e-01	0.638	42.438	344.532482	6.500	27.6414	7.1030	1021.6462	21.6159	21.6158	6.3694	90.107	7.06872	7.07484	27.7901	1.8291e-02	7.1971	1021.6611	21.6307	26.2074	30.6821	35.0568	39.3335	9.7880e-04	6.1664e-06	27.7718	28630.9014	26
