Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.26446	11.47534	2.019	5.1910	1.3407	49.805	344.685704	2.000	20.5653	5.1909	1016.2492	16.2396	16.2396	7.4680	96.338	7.75353	7.75905	20.6981	3.5881e-02	5.3367	1016.2751	16.2655	20.9479	25.5255	30.0000	34.3734	9.8399e-04	1.1335e-05	20.6622	21203.6050	15
58.26446	11.47534	2.523	6.7509	1.0896	50.885	344.685716	2.500	27.2417	6.7507	1021.3559	21.3442	21.3442	6.7998	95.159	7.14565	7.15228	27.3895	1.9285e-02	6.8468	1021.3713	21.3596	25.9481	30.4343	34.8201	39.1075	9.7907e-04	6.4257e-06	27.3702	27232.2302	25
58.26446	11.47534	3.028	6.8958	0.8141	51.914	344.685728	3.000	27.5009	6.8956	1021.5446	21.5305	21.5305	6.5874	92.654	7.10960	7.11607	27.6493	1.8640e-02	6.9896	1021.5596	21.5456	26.1284	30.6092	34.9897	39.2720	9.7890e-04	6.2477e-06	27.6306	27802.4427	24
58.26446	11.47534	3.533	7.0612	0.8594	52.903	344.685740	3.500	27.8671	7.0609	1021.8147	21.7983	21.7983	6.4556	91.371	7.06522	7.07154	28.0162	1.7730e-02	7.1517	1021.8291	21.8128	26.3887	30.8628	35.2368	39.5128	9.7864e-04	5.9918e-06	27.9985	28449.3687	24
58.26446	11.47533	4.038	7.2880	0.7871	53.886	344.685751	4.000	28.1566	7.2876	1022.0162	21.9975	21.9975	6.2858	89.606	7.01482	7.02083	28.3064	1.7011e-02	7.3765	1022.0302	22.0116	26.5798	31.0462	35.4130	39.6819	9.7845e-04	5.8015e-06	28.2894	29347.0118	24
58.26446	11.47532	4.542	7.5154	0.6984	54.884	344.685763	4.500	28.6042	7.5150	1022.3409	22.3199	22.3199	6.0970	87.630	6.95760	6.96337	28.7550	1.5898e-02	7.5997	1022.3543	22.3333	26.8925	31.3503	35.7086	39.9694	9.7813e-04	5.4936e-06	28.7391	30237.7995	24
58.26446	11.47532	5.047	7.4349	0.6455	55.894	344.685774	5.000	28.8376	7.4345	1022.5369	22.5136	22.5135	6.0798	87.356	6.95988	6.96593	28.9889	1.5318e-02	7.5152	1022.5498	22.5266	27.0859	31.5438	35.9023	40.1632	9.7795e-04	5.3088e-06	28.9736	29900.6683	24
58.26446	11.47532	5.552	7.5723	0.6348	56.894	344.685786	5.500	29.6008	7.5718	1023.1202	23.0947	23.0946	6.1197	88.649	6.90336	6.90949	29.7538	1.3421e-02	7.6428	1023.1320	23.1065	27.6567	32.1057	36.4555	40.7081	9.7739e-04	4.7547e-06	29.7403	30409.9034	24
58.26446	11.47532	6.056	7.6411	0.7348	57.877	344.685797	6.000	29.7320	7.6406	1023.2164	23.1886	23.1885	6.1141	88.783	6.88655	6.89261	29.8853	1.3095e-02	7.7101	1023.2280	23.2002	27.7477	32.1942	36.5415	40.7916	9.7730e-04	4.6652e-06	29.8722	30678.5748	23
58.26446	11.47532	6.561	7.7463	0.7082	58.849	344.685808	6.500	30.0575	7.7457	1023.4599	23.4298	23.4297	6.1479	89.680	6.85541	6.86140	30.2115	1.2286e-02	7.8112	1023.4710	23.4408	27.9834	32.4250	36.7676	41.0133	9.7707e-04	4.4355e-06	30.1992	31082.2260	24
